paper,section_level,section_title,mapped_node_ids,mapped_node_names,mapped_node_types,coverage_status,section_word_count,excerpt
Paper I,subsection,The second-order cancellation pattern,RA-KERNEL-001;RA-ARITH-001;RA-ARITH-002,Four-dimensional BDG acceptance kernel; BDG coefficient arithmetic spine; Second-order cancellation pattern,claim;claim;claim,mapped,122,"A fundamental arithmetic property of the d=4 BDG coefficients is the second-order cancellation pattern. Two distinct sums must be kept separate: align eq:full_sum (full sum, including birth term) & _ k=0 ^ 4 c_k = 1-1+9-16+8 = 1, eq:dalembert_sum (non-birth action sum) & _ k=1 ^ 4 c_k = -1+9-16+8 = "
Paper I,section,The Sequential Growth Rule,RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,Irreversible actualization; Structured potentia / adjacent possible; Finite potentia; Stochastic actualization kernel requirement,claim;claim;claim;issue,mapped,234,"sec:engine definition[Universe-state] At step n , the universe-state is the ordered pair equation U_n=(G_n, (G_n)), equation where G_n is the finite actualized graph and (G_n) is the set of admissible single-vertex extensions. definition definition[Sequential growth] Given G_n , a candidate past set"
Paper I,subsection,A worked toy growth step,RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,Irreversible actualization; Structured potentia / adjacent possible; Finite potentia; Stochastic actualization kernel requirement,claim;claim;claim;issue,mapped,198,"A tiny example makes the kernel concrete. Let the realized graph G_n be the four-vertex chain [ a b c d. ] Consider three candidate past sets for a new vertex v : enumerate[label=( *)] P_1= d , so that v has past a,b,c,d in a single chain; P_2= b,d , which generates the same downward closure as P_1 "
Paper I,subsection,The bimodal ontology,RA-ONT-002;RA-ONT-003;RA-KERNEL-003;RA-KERNEL-004,Irreversible actualization; Structured potentia / adjacent possible; Finite potentia; Stochastic actualization kernel requirement,claim;claim;claim;issue,mapped,143,"The universe-state U_n=(G_n, (G_n)) makes RA's ontology explicit: reality has two components. The actualized graph G_n is the settled, irreversible past. The structured potentia (G_n) is the unsettled but constrained space of possibilities for the next step. Both are real--- G_n is actual, (G_n) is "
Paper I,section,The BDG Filter and Acceptance Kernel,RA-KERNEL-001;RA-GRAV-001;RA-GRAV-002,Four-dimensional BDG acceptance kernel; Kernel–Poisson divergence identity; Asymptotic kernel saturation,claim;claim;claim,mapped,62,"sec:filter In the Poisson-CSG approximation (the statistical limit of the sequential growth rule at density ), each N_k is an independent Poisson random variable with parameter _k= ^k/k! . The acceptance probability is equation ( )=P(S>0), equation and the acceptance kernel is the conditional distri"
Paper I,subsection,The actualization threshold,RA-KERNEL-001;RA-GRAV-001;RA-GRAV-002,Four-dimensional BDG acceptance kernel; Kernel–Poisson divergence identity; Asymptotic kernel saturation,claim;claim;claim,mapped,42,"The quantity S^*( )=- ( ) measures the selectivity of the BDG filter at density . At =1 (the Planck density): equation (1) 0.548, S^* 0.601 ;nats. equation This is not a free parameter. It is computed from the BDG integers alone."
Paper I,subsection,Kernel saturation theorem,RA-KERNEL-001;RA-GRAV-001;RA-GRAV-002,Four-dimensional BDG acceptance kernel; Kernel–Poisson divergence identity; Asymptotic kernel saturation,claim;claim;claim,mapped,201,"theorem[Kernel--Poisson divergence identity] thm:kl For the BDG acceptance kernel: align (K( | ) , | ,Poisson( ; )) &= - ( ) = S^*( ), eq:kl (K( | ), ,Poisson( ; )) &= 1- ( ). eq:tv align theorem proof K is a truncated Poisson: the ratio K(N)/P(N)=1/ is constant on the support of K (where S>0 ), and"
Paper I,subsection,The selectivity profile,RA-D4-001;RA-ARITH-005,D4U02 selectivity ceiling; Internal density scale from selectivity,claim;claim,mapped,115,"Numerical evaluation (Monte Carlo, 2 10^5 samples) gives: center tabular rcccc & & S^* & & Regime 0.5 & 0.641 & 0.445 & 0.359 & gentle 1.0 & 0.548 & 0.601 & 0.452 & selective 3.0 & 0.448 & 0.802 & 0.552 & strongly selective 4.0 & 0.402 & 0.912 & 0.598 & maximum selectivity 5.7 & 0.498 & 0.698 & 0.50"
Paper I,section,"The Actualization Criterion: Kernel First, Comparative Readouts Second",RA-KERNEL-001;RA-KERNEL-004;RA-D4-001,Four-dimensional BDG acceptance kernel; Stochastic actualization kernel requirement; D4U02 selectivity ceiling,claim;issue;claim,mapped,179,"sec:criterion Different statistical or continuum descriptions may be built on top of the kernel, and comparison with those descriptions is useful, but the active criterion of the framework is single and native. This is the point at which RA most directly diverges from both standard QM and standard e"
Paper I,subsection,Statistical selectivity as a derived readout,,,,textual_context,71,"A useful native readout of the kernel is statistical selectivity. In the Poisson-CSG regime at density , the acceptance probability is [ ( )=P(S_ BDG >0), ] and the corresponding selectivity witness is [ S^*( ):=- ( ). ] At =1 , this gives the exact finite value S^* 0.601 nats. This quantity is nati"
Paper I,subsection,Why the kernel-first hierarchy matters,,,,textual_context,173,"Earlier versions of the project often presented entropic, AQFT, or on-shell descriptions as if they were co-equal with the kernel. Under the present native-first programme they are not. The logical order is: center tabular clll Layer & Statement & Role & Status 1 & S_ BDG > 0 & Active kernel criteri"
Paper I,subsection,Comparison with entropic and on-shell formulations,,,,textual_context,194,"Readers coming from AQFT or perturbative field theory will naturally ask whether the kernel has recognizable entropic or on-shell readouts. The answer is: possibly yes, but those readouts are secondary. The useful comparison is that a native threshold such as S_ BDG >0 may later appear, in an approp"
Paper I,section,The Measurement Problem Dissolved in Native Terms,RA-ONT-002;RA-OPEN-009,Irreversible actualization; RA-native frequency law,claim;issue,mapped,267,"sec:measurement In RA, the basic distinction is not between ``quantum'' and ``classical'' substances. It is between unrealized potentia and realized events. A candidate extension that remains below the kernel threshold stays unrealized; an actualization event writes a permanent vertex into the causa"
Paper I,subsection,Comparison with wave-equation language,,,,textual_context,129,"Wave-equation language remains useful for comparison because it tells the reader what problem-space RA is entering. The point of the present paper, however, is that sparse-regime behaviour need not be introduced by first writing down a Schr ""odinger equation and then asking how collapse occurs. In R"
Paper I,section,"Finite Propagation, Event Counts, and Saturation",RA-KIN-BANDWIDTH-001,Propagation ceiling as graph bandwidth ratio,stageC_candidate,mapped,71,"sec:relativistic This section states the native kinematic content of the kernel and uses relativity only as a comparison point. In SR and GR, causal structure is encoded by the metric and its cones. In RA, the primitive statements are finite propagation bandwidth, event-count time, and saturation / "
Paper I,subsection,The propagation ceiling as graph bandwidth ratio,RA-KIN-BANDWIDTH-001,Propagation ceiling as graph bandwidth ratio,stageC_candidate,mapped,96,"The fundamental length and time scales of RA are the Planck length _P and the Planck time t_P . The growth rule proceeds in finite causal steps, so the maximum speed at which a causal influence can propagate is equation eq:c_bandwidth c = _P t_P . equation This is the native finite-propagation state"
Paper I,subsection,Proper time as event count,RA-KIN-PROPER-TIME-001,Proper time as actualization-event count,stageC_candidate,mapped,110,"proposition[Proper time as event count] prop:proper_time The proper time experienced by a physical system is the count of actualization events N_ act that the system writes into the causal graph along its realized worldline, in units of t_P : equation = N_ act t_P. equation proposition Time dilation"
Paper I,subsection,Bandwidth saturation and severance onset,RA-GRAV-003;RA-GRAV-SINGULARITY-001,Causal severance; Singularity termination by saturation/partition,claim;stageC_candidate,mapped,128,"conjecture[Saturation and partition] conj:singularity The graph bandwidth is bounded: no realized vertex can carry more than a finite number of causal edges, and the local actualization rate is bounded by the finite growth rule. The programme conjectures that when the local graph approaches this ban"
Paper I,subsection,Comparison with relativistic language,,,,textual_context,119,"Relativistic language remains scientifically relevant because RA must eventually account for many of the same observable regularities: finite signal speed, differential elapsed time, horizon behaviour, lensing, and orbital response. But the kernel does not start from Lorentz symmetry, geodesics, or "
Paper I,subsection,The D4U02 analytic gap,RA-D4-001;RA-D4-002,D4U02 selectivity ceiling; D4U02 modular barrier,claim;claim,mapped,102,"sec:d4u02_gap The uniqueness of d=4 ( :d4) rests in part on a numerical result: the BDG selectivity witness has its first local maximum at ^* 1.019 for d=4 . This has been established via the Stein--Papangelou identity combined with exact enumeration, with certified error bounds (see d4u02 _proof _v"
Paper I,section,The Present Case for d=4,RA-D4-001;RA-D4-002;RA-ARITH-001;RA-ARITH-005;RA-MOTIF-002,D4U02 selectivity ceiling; D4U02 modular barrier; BDG coefficient arithmetic spine; Internal density scale from selectivity; Stable motif census,claim;claim;claim;claim;claim,mapped,86,"sec:d4 The observed four-dimensionality of large-scale spacetime is not taken as a primitive input of RA. This is one of the strongest contrasts between RA and standard continuum practice: in GR and QFT, 3+1 dimensions are part of the starting stage on which the drama unfolds. In RA, by contrast, di"
Paper I,subsection,The selectivity ceiling,,,,textual_context,122,"Certified computation gives: center tabular rccc d & ^* & | ^*-1| & finite motif richness? 2 & 1.001 & 0.1 % & insufficient ( K=2 ) 3 & 0.890 & 11 % & insufficient ( K=3 ) 4 & 1.019 & 1.9 % & sufficient ( K=5 ) 5 & >3.0 & >200 % & wrong selectivity scale tabular center Within the current criteria, o"
Paper I,subsection,The cascade exponent,RA-D4-CASCADE-001,d=4 cascade-exponent uniqueness criterion,stageC_candidate,mapped,36,The BDG cascade exponent 2N_c-1 equals the cycle length d+1 only in d=4 . In the present programme this is taken as a native renewal criterion for finite cyclic motif persistence under the sequential growth rule.
Paper I,subsection,The geometric identity,RA-ARITH-003,Koide ratio identity,claim,mapped,57,"The identity [ 4 3 d! = d 2^ d-1 ] is satisfied only by d=4 , giving 32=32 . In the present paper this is read as another native structural consistency condition for persistent finite organization. Continuum causal-diamond language may still serve as downstream interpretation, but it is not part of "
Paper I,subsection,Arithmetic support versus geometric cartography,,,,textual_context,69,"The active compiled support in Lean is the arithmetic coefficient-inversion layer in RA _O14 _ArithmeticCore _v1.lean. Geometric identification of these integers with a particular continuum causal-diamond moment problem remains downstream cartography or external support, not active native compilatio"
Paper I,section,"Arithmetic Core, Measured Numbers, and Non-kernel Overlays",RA-ARITH-001;RA-ARITH-002;RA-PRED-001;RA-ARITH-003,BDG coefficient arithmetic spine; Second-order cancellation pattern; Fine-structure inverse target; Koide ratio identity,claim;claim;target;claim,mapped,212,sec:couplings The active native arithmetic result of this paper is the unique d=4 coefficient inversion from BDG integer structure. That compiled arithmetic core is carried by RA _O14 _ArithmeticCore _v1.lean and is part of the present active support surface. This is precisely the kind of result wit
Paper I,section,Antichain Drift as a Local Graph Statistic,RA-GRAV-007,Antichain drift local statistic,claim,mapped,266,"sec:drift The BDG filter does not merely decide whether a candidate extension is admissible; it also biases the local width-versus-depth character of growth. This makes antichain drift an interesting candidate for later cosmological use, because widening antichains are the most native discrete analo"
Paper I,section,Formal Verification in Lean 4,RA-LLC-001;RA-KERNEL-002;RA-ARITH-001,Local Ledger Condition; Kernel locality; BDG coefficient arithmetic spine,claim;claim;claim,mapped,174,"sec:lean The restored Lean baseline builds cleanly, but the present paper relies positively only on a narrow active native compiled support surface. This is important both mathematically and editorially: the paper compares itself with CST, QM, and GR throughout, but it does not pretend to have nativ"
Paper I,section,Suite-Level Downstream Targets,RA-PRED-001;RA-PRED-002;RA-PRED-003;RA-PRED-004;RA-PRED-005;RA-PRED-006;RA-PRED-007,Fine-structure inverse target; Proton mass scale target; Higgs-scale / scalar benchmark target; f0 path-weight comparison target; Local Hubble/environment target; Rotation-curve / lensing source-law target; Axis-of-Evil / low-l alignment target,target;target;target;target;target;target;target,mapped,173,"sec:predictions This kernel paper does not treat downstream phenomenology as active support. Its job is to establish the native event-writing engine on which later, more domain-specific papers depend. The later papers then compare RA's predictions and structural claims with the observational domains"
Paper I,section,"What RA Explains Here, and What It Does Not Yet Explain",,,,textual_context,412,"sec:status tcolorbox[title=Scope of the active native support layer,colback=gray!5,colframe=gray!60] The presently active native compiled support of this paper consists of the graph-cut / local-ledger chain in RA _GraphCore.lean, the kernel-locality family in RA _O01 _KernelLocality _v2.lean, and th"
Paper I,section,Conclusion,,,,textual_context,359,"sec:conclusion Relational Actualism is best understood not as a denial of existing physics, but as a proposal for a different starting point. In the immediate lineage of causal set theory, it takes a finite causal order seriously as ontology; beyond standard CST, it adds primitive actualization, str"
Paper I,section,Acknowledgments,,,,textual_context,266,"This work was developed in collaboration with Claude (Anthropic, Opus 4.6) for computation, formal verification scaffolding, and manuscript preparation, and with ChatGPT (OpenAI, GPT-4o) for external review, proof structure, and the formulation of Axiom~7. AI contributions are limited to technical e"
Paper II,section,Introduction,,,,textual_context,415,"Nature presents masses, radii, lifetimes, interaction ranges, and matter-sector asymmetries. The aim of Paper~II is to confront that domain directly from RA's own primitives: DAG growth, the BDG acceptance kernel, the local ledger condition, and finite motif renewal. The paper is not written as if t"
Paper II,section,From Causal Set Theory to a Matter Programme,,,,textual_context,254,"Causal set theory already tells us that a locally finite causal order can carry spacetime information. What it does not by itself provide is a native account of why only some local growth patterns persist as stable matter sectors, why finite closure windows should exist, or how local conservation bo"
Paper II,section,Stable Motif Sectors in the d=4 Regime,RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,Native motif sector definition; Stable motif census; Minimal closure windows; Extension census; Confinement as finite renewal,claim;claim;claim;claim;claim,mapped,183,"theorem[Finite stable census --- active compiled support] In the stable d=4 regime, the current native closure chain yields exactly five topologically distinct stability classes under admissible causal-diamond extension. theorem This theorem is the compiled backbone of the paper's matter taxonomy. T"
Paper II,subsection,Finite closure lengths,RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,Native motif sector definition; Stable motif census; Minimal closure windows; Extension census; Confinement as finite renewal,claim;claim;claim;claim;claim,mapped,170,theorem[Minimal closure windows --- active compiled support] The two minimal branching motifs have finite closure lengths L_g=3 and L_q=4 in the present native confinement chain. theorem These are among the most important differences between RA and both CST and the Standard Model. Raw CST does not b
Paper II,subsection,Extension census and admissible closure,RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,Native motif sector definition; Stable motif census; Minimal closure windows; Extension census; Confinement as finite renewal,claim;claim;claim;claim;claim,mapped,115,"The finite closure statement above is sharpened by the native extension census in RA _D1 _NativeClosure _v1.lean. In that file, the one-step extension classes for the minimal symmetric and asymmetric branching motifs, and their transition states, are exhaustively classified under admissible BDG exte"
Paper II,subsection,Three persistence sectors,RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,Native motif sector definition; Stable motif census; Minimal closure windows; Extension census; Confinement as finite renewal,claim;claim;claim;claim;claim,mapped,135,"At the broadest level, the five classes collapse into three experimentally recognizable persistence sectors: itemize[nosep] terminal motifs: finite ledger-balanced endpoints that behave like isolated matter quanta, bound motifs: motifs whose stability is tied to finite branching closure and repeated"
Paper II,section,Arithmetic Spine and Nature-Facing Numerical Targets,RA-ARITH-001;RA-ARITH-003;RA-ARITH-004;RA-ARITH-005;RA-ARITH-006;RA-PRED-001;RA-PRED-002,BDG coefficient arithmetic spine; Koide ratio identity; Dimensionless strong-interaction scale; Internal density scale from selectivity; BDG path-weight ratio; Fine-structure inverse target; Proton mass scale target,claim;claim;claim;claim;claim;target;target,mapped,50,"The compiled arithmetic core from Paper~I provides the strongest present route from native structure to measured numbers. In this paper it serves two functions. First, it fixes the d=4 coefficient spine on which the motif programme rests. Second, it supports direct measurable-number targets without "
Paper II,subsection,The measured fine-structure constant as a direct target,RA-PRED-001,Fine-structure inverse target,target,mapped,155,"A key example is the observed inverse fine-structure constant, approximately 137.036 . In the standard framework this number is embedded in a renormalization story and becomes a scale-dependent running coupling. In RA, by contrast, the active numerical target is simply the measured number Nature pre"
Paper II,subsection,The three-angle K=2/3 ratio identity,RA-ARITH-003,Koide ratio identity,claim,mapped,112,"A restored native arithmetic result concerns the exact ratio equation K:= _k kval( ,k)^2 ( _k kval( ,k) )^2 =2 3 . equation The theorem is a purely finite trigonometric/arithmetic identity in the RA support corpus. It is not imported from the Standard Model, nor from a field-theoretic mass formula. "
Paper II,subsection,A dimensionless strong-interaction scale from BDG arithmetic,RA-ARITH-004,Dimensionless strong-interaction scale,claim,mapped,101,"The BDG integer spine also yields the dimensionless scale equation _ RA,strong =1 c_2c_4 =1 9 8 =1 72 0.117851. equation This number is derived from the same (d=4 ) BDG coefficients used by the growth kernel. It should not be read as an imported running coupling. The Nature-facing comparison is that"
Paper II,subsection,BDG selectivity and the internal strong-density scale,RA-ARITH-005,Internal density scale from selectivity,claim,mapped,103,"The D4U02 enumeration gives the Planck-density acceptance value equation P_ acc (1) 0.54843555, S^*:=- P_ acc (1) 0.60069 ;nats. equation From this native selectivity scale the internal density equation _ int = ! (4 S^* ) 4.71 equation is obtained without fitting a particle-specific parameter. In RA"
Paper II,subsection,BDG path-weight ratio,RA-ARITH-006;RA-PRED-004,BDG path-weight ratio; f0 path-weight comparison target,claim;target,mapped,93,"A second restored computation is the finite path-weight ratio equation W_ other W_ baryon 17.32, equation computed from the (d=4 ) BDG admissibility condition at ( =1 ). The baryonic weight is the exact finite sum (W_ baryon =3/2 ), while (W_ other ) is the admissible non-elementary, non-baryonic pa"
Paper II,subsection,Proton-scale cascade as a native numerical programme,RA-PRED-002;RA-MATTER-NEFF-001;RA-MATTER-HADRON-TRIAD-001,Proton mass scale target; matter_proton_scale; HadronTriad structural ledger and 2/3 mass-bound ratio,target;restoration_candidate;restoration_candidate,mapped,276,The most ambitious numerical construction in the present paper remains the proton-scale cascade. The native idea is that a stable bound motif sustained by the minimal branching mediator should generate a multiplicative suppression from the Planck scale through repeated finite closure. In the current
Paper II,subsection,Secondary measured targets,RA-PRED-003;RA-PRED-002;RA-MATTER-HADRON-TRIAD-001,Higgs-scale / scalar benchmark target; Proton mass scale target; HadronTriad structural ledger and 2/3 mass-bound ratio,target;target;restoration_candidate,mapped,68,"Three additional measured targets remain in view but are not yet closed strongly enough to be promoted to the paper's active support surface: the neutron-proton splitting, the pion scale, and the masses usually discussed as Higgs and W benchmarks. They remain useful because they test whether the sam"
Paper II,section,Interaction Hierarchy by Closure Burden and Renewal,RA-MOTIF-007;RA-OPEN-002,Confinement as finite renewal; Scattering and decay predictions,claim;issue,mapped,50,"The most important physical comparison in this paper is with the observed hierarchy of interaction strength and range. Standard particle physics explains that hierarchy through gauge fields, mediator masses, confinement, and renormalization. RA proposes a different ordering principle: interaction be"
Paper II,subsection,Long-range propagation,RA-MOTIF-007;RA-OPEN-002,Confinement as finite renewal; Scattering and decay predictions,claim;issue,mapped,123,"Depth-1 ledger-balanced propagation motifs are the natural candidates for long-range influence in RA. Because they are not closure-burdened in the same way as branching bound motifs, their transmission is not cut off by the same finite window that produces short-range behaviour elsewhere. Compare an"
Paper II,subsection,Finite-range weak interaction analogue,RA-MOTIF-007;RA-OPEN-002,Confinement as finite renewal; Scattering and decay predictions,claim;issue,mapped,126,"Finite-range interaction in RA appears when the relevant motif carries a closure debt that must be paid within a small number of admissible steps. The range is then not a consequence of mediator mass in the usual field-theoretic sense, but of the finite extension window itself. Compare and contrast."
Paper II,subsection,Confinement as finite renewal,RA-MOTIF-007;RA-OPEN-002,Confinement as finite renewal; Scattering and decay predictions,claim;issue,mapped,150,"For the strongly bound sector, the key claim is even more radical: confinement is not a late effective phenomenon but a primitive consequence of finite renewal and repeated closure. The bound motif does not admit an indefinitely isolated extension as a free terminal object. The system therefore stay"
Paper II,section,"Orientation, Charge, and Matter-Sector Excess",RA-MOTIF-006;RA-MOTIF-008;RA-MATTER-ASYMMETRY-001,Signed three-direction charge spectrum; Orientation/chirality theorem family; Matter-sector excess as severance boundary condition,claim;claim;stageC_candidate,mapped,0,
Paper II,subsection,Signed three-direction charge spectrum,RA-MOTIF-006;RA-MOTIF-008,Signed three-direction charge spectrum; Orientation/chirality theorem family,claim;claim,mapped,131,"The compiled ledger/orientation chain supports the claim that, in the observed 3+1 regime, signed charge may be organized by three independent spatial directions. The resulting charge spectrum is equation Q -e,-2e 3 ,-e 3 ,0,+e 3 ,+2e 3 ,+e . equation Nature-facing target. The target is the observed"
Paper II,subsection,Severance and information partition,RA-GRAV-003;RA-GRAV-004;RA-NOPAGE-001,Causal severance; Severed-link entropy observable; No-Page-curve / severance information partition reading,claim;claim;stageC_candidate,mapped,109,"RA's severance picture matters already in Paper~II because it changes how one thinks about conservation. The primitive claim is not global Hilbert-space unitarity; it is local ledger preservation plus causal partition. When a region severs, information is not destroyed but repartitioned across causa"
Paper II,subsection,Matter-sector excess as a severance initial condition,RA-MATTER-ASYMMETRY-001,Matter-sector excess as severance boundary condition,stageC_candidate,mapped,145,The observed universe contains a persistent matter-sector excess. In standard cosmology this is framed as a baryogenesis problem and is attacked through Sakharov-style dynamical conditions. RA offers a different possibility: the excess is a severance initial condition encoded in the boundary data of
Paper II,section,Selective Regime and Motif Selection,RA-D4-001;RA-ARITH-005;RA-MOTIF-002;RA-OPEN-002,D4U02 selectivity ceiling; Internal density scale from selectivity; Stable motif census; Scattering and decay predictions,claim;claim;claim;issue,mapped,235,"The BDG filter does not weight all depth profiles equally. In the selective regime ( 3 -- 5 ), Monte Carlo sampling of the native kernel exhibits a characteristic pattern: center tabular ccccc & N_1 & N_2 & N_3 & N_4 1.0 & -0.34 & +0.32 & -0.14 & +0.03 2.0 & -0.12 & +0.58 & -0.66 & +0.16 4.0 & -0.05"
Paper II,section,"What RA Explains Here, and What It Does Not Yet Explain",,,,textual_context,299,"center longtable p 0.36 p 0.22 p 0.28 Claim or target & Current basis & Status Five stable motif sectors in the d=4 regime & compiled native closure chain & Active compiled support Minimal closure lengths L_g=3 , L_q=4 & compiled native confinement chain & Active compiled support Depth-2 orientation"
Paper II,section,Conclusion,,,,textual_context,236,"Paper~II argues that the matter-and-interaction domain can be approached natively from RA's own discrete engine and that doing so becomes easier, not harder, once the framework is placed explicitly in the lineage of causal set theory. CST supplies the causal-order background. RA adds the ontological"
Paper II,section,Acknowledgments,,,,textual_context,230,"As in Paper~I, this work was developed in collaboration with Claude (Anthropic) for computation and manuscript preparation, and with ChatGPT (OpenAI) for external review and proof-structure analysis. The ontological commitments, physical reasoning, and framework direction are the author's. thebiblio"
Paper III,section,Introduction,,,,textual_context,433,"Nature presents black-hole entropy, horizon behavior, orbital response, lensing maps, Hubble-diagram residuals, and large-angle sky anomalies. Paper~III asks whether those macroscopic regularities can be addressed from the same discrete engine developed in Papers~I and II: DAG growth, the BDG accept"
Paper III,section,From Causal Set Theory to a Macroscopic Programme,RA-GRAV-003;RA-GRAV-004;RA-GRAV-005;RA-OPEN-003;RA-OPEN-004,Causal severance; Severed-link entropy observable; Discrete boundary law; Coefficient-level orbital/lensing source law; Environment-sensitive expansion law,claim;claim;claim;issue;issue,mapped,319,"CST already tells us that spacetime may be more fundamentally a locally finite order than a differentiable manifold. That move is crucial but not sufficient for the present paper. Raw CST does not by itself tell us when a region should cease to remain in causal contact with another, which local fini"
Paper III,section,Causal Severance: A Finite Alternative to Singular Continuation,RA-GRAV-002;RA-GRAV-003,Asymptotic kernel saturation; Causal severance,claim;claim,mapped,171,"sec:severance definition[Causal severance] A causal severance is a partition V=V_A V_B of the realized graph such that no vertex in V_A has a link to any vertex in V_B and vice versa. After severance, G splits into two independent graphs. The holds independently on each side by the graph-cut / ledge"
Paper III,subsection,Kernel saturation,RA-GRAV-002;RA-GRAV-003,Asymptotic kernel saturation; Causal severance,claim;claim,mapped,398,"theorem[Kernel--Poisson divergence identity] thm:kl For the BDG acceptance kernel K(N ) : align (K , | ,Poisson) &= - ( ), (K, ,Poisson) &= 1- ( ). align theorem proof K is a truncated Poisson: the likelihood ratio K/P=1/ is constant on the support. Direct substitution yields both identities. proof "
Paper III,section,Discrete Boundary Law and Black-Hole Entropy,RA-GRAV-005,Discrete boundary law,claim,mapped,1,sec:entropy
Paper III,subsection,The entropy observable,RA-GRAV-004,Severed-link entropy observable,claim,mapped,110,"definition[Cross-severance link set] For a severance :V=V_A V_B , [ L_ = (u,v) L(G_n):u V_A, ,v V_B , ] where L(G_n) is the set of irreducible causal links. definition definition[RA-native severance entropy] [ ( )=|L_ |. ] Entropy counts blocked irreducible future-directed causal channels. definitio"
Paper III,subsection,Finiteness and interface invariance,RA-GRAV-004,Severed-link entropy observable,claim,mapped,53,"theorem[Finiteness] For any severance G_n in a physically realized state, ( )< . theorem proof G_n is finite. L(G_n) is finite. L_ L(G_n) . Therefore |L_ |< . proof theorem[Interface invariance] is invariant under internal refinements preserving L_ . theorem proof =|L_ | . If L_ is preserved, its ca"
