paper,line,section_level,section_title_raw,section_title_normalized,mapped_node_ids,inserted_comment,replaced_existing_comments
Paper I,608,subsection,Bandwidth saturation and severance onset,Bandwidth saturation and severance onset,RA-GRAV-003;RA-GRAV-SINGULARITY-001,% RAKB: RA-GRAV-003;RA-GRAV-SINGULARITY-001,
Paper I,623,subsection,The D4U02 analytic gap,The D4U02 analytic gap,RA-D4-001;RA-D4-002,% RAKB: RA-D4-001;RA-D4-002,
Paper I,631,section,The Present Case for $d=4$,The Present Case for d=4,RA-D4-001;RA-D4-002;RA-ARITH-001;RA-ARITH-005;RA-MOTIF-002,% RAKB: RA-D4-001;RA-D4-002;RA-ARITH-001;RA-ARITH-005;RA-MOTIF-002,
Paper I,655,subsection,The cascade exponent,The cascade exponent,RA-D4-CASCADE-001,% RAKB: RA-D4-CASCADE-001,
Paper I,659,subsection,The geometric identity,The geometric identity,RA-ARITH-003,% RAKB: RA-ARITH-003,
Paper I,672,section,"Arithmetic Core, Measured Numbers, and Non-kernel Overlays","Arithmetic Core, Measured Numbers, and Non-kernel Overlays",RA-ARITH-001;RA-ARITH-002;RA-PRED-001;RA-ARITH-003,% RAKB: RA-ARITH-001;RA-ARITH-002;RA-PRED-001;RA-ARITH-003,
Paper I,683,section,Antichain Drift as a Local Graph Statistic,Antichain Drift as a Local Graph Statistic,RA-GRAV-007,% RAKB: RA-GRAV-007,
Paper I,708,section,Formal Verification in Lean 4,Formal Verification in Lean 4,RA-LLC-001;RA-KERNEL-002;RA-ARITH-001,% RAKB: RA-LLC-001;RA-KERNEL-002;RA-ARITH-001,
Paper I,729,section,Suite-Level Downstream Targets,Suite-Level Downstream Targets,RA-PRED-001;RA-PRED-002;RA-PRED-003;RA-PRED-004;RA-PRED-005;RA-PRED-006;RA-PRED-007,% RAKB: RA-PRED-001;RA-PRED-002;RA-PRED-003;RA-PRED-004;RA-PRED-005;RA-PRED-006;RA-PRED-007,
Paper II,189,section,Stable Motif Sectors in the $d=4$ Regime,Stable Motif Sectors in the d=4 Regime,RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,% RAKB: RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,
Paper II,212,subsection,Finite closure lengths,Finite closure lengths,RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,% RAKB: RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,
Paper II,224,subsection,Extension census and admissible closure,Extension census and admissible closure,RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,% RAKB: RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,
Paper II,237,subsection,Three persistence sectors,Three persistence sectors,RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,% RAKB: RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,
Paper II,249,section,Arithmetic Spine and Nature-Facing Numerical Targets,Arithmetic Spine and Nature-Facing Numerical Targets,RA-ARITH-001;RA-ARITH-003;RA-ARITH-004;RA-ARITH-005;RA-ARITH-006;RA-PRED-001;RA-PRED-002,% RAKB: RA-ARITH-001;RA-ARITH-003;RA-ARITH-004;RA-ARITH-005;RA-ARITH-006;RA-PRED-001;RA-PRED-002,
Paper II,254,subsection,The measured fine-structure constant as a direct target,The measured fine-structure constant as a direct target,RA-PRED-001,% RAKB: RA-PRED-001,
Paper II,262,subsection,The three-angle $K=2/3$ ratio identity,The three-angle K=2/3 ratio identity,RA-ARITH-003,% RAKB: RA-ARITH-003,
Paper II,272,subsection,A dimensionless strong-interaction scale from BDG arithmetic,A dimensionless strong-interaction scale from BDG arithmetic,RA-ARITH-004,% RAKB: RA-ARITH-004,
Paper II,282,subsection,BDG selectivity and the internal strong-density scale,BDG selectivity and the internal strong-density scale,RA-ARITH-005,% RAKB: RA-ARITH-005,
Paper II,298,subsection,BDG path-weight ratio,BDG path-weight ratio,RA-ARITH-006;RA-PRED-004,% RAKB: RA-ARITH-006;RA-PRED-004,
Paper II,308,subsection,Proton-scale cascade as a native numerical programme,Proton-scale cascade as a native numerical programme,RA-PRED-002;RA-MATTER-NEFF-001;RA-MATTER-HADRON-TRIAD-001,% RAKB: RA-PRED-002;RA-MATTER-NEFF-001;RA-MATTER-HADRON-TRIAD-001,
Paper II,330,subsection,Secondary measured targets,Secondary measured targets,RA-PRED-003;RA-PRED-002;RA-MATTER-HADRON-TRIAD-001,% RAKB: RA-PRED-003;RA-PRED-002;RA-MATTER-HADRON-TRIAD-001,
Paper II,335,section,Interaction Hierarchy by Closure Burden and Renewal,Interaction Hierarchy by Closure Burden and Renewal,RA-MOTIF-007;RA-OPEN-002,% RAKB: RA-MOTIF-007;RA-OPEN-002,
Paper II,340,subsection,Long-range propagation,Long-range propagation,RA-MOTIF-007;RA-OPEN-002,% RAKB: RA-MOTIF-007;RA-OPEN-002,
Paper II,348,subsection,Finite-range weak interaction analogue,Finite-range weak interaction analogue,RA-MOTIF-007;RA-OPEN-002,% RAKB: RA-MOTIF-007;RA-OPEN-002,
Paper II,356,subsection,Confinement as finite renewal,Confinement as finite renewal,RA-MOTIF-007;RA-OPEN-002,% RAKB: RA-MOTIF-007;RA-OPEN-002,
Paper II,365,section,"Orientation, Charge, and Matter-Sector Excess","Orientation, Charge, and Matter-Sector Excess",RA-MOTIF-006;RA-MOTIF-008;RA-MATTER-ASYMMETRY-001,% RAKB: RA-MOTIF-006;RA-MOTIF-008;RA-MATTER-ASYMMETRY-001,
Paper II,368,subsection,Signed three-direction charge spectrum,Signed three-direction charge spectrum,RA-MOTIF-006;RA-MOTIF-008,% RAKB: RA-MOTIF-006;RA-MOTIF-008,
Paper II,381,subsection,Severance and information partition,Severance and information partition,RA-GRAV-003;RA-GRAV-004;RA-NOPAGE-001,% RAKB: RA-GRAV-003;RA-GRAV-004;RA-NOPAGE-001,
Paper II,387,subsection,Matter-sector excess as a severance initial condition,Matter-sector excess as a severance initial condition,RA-MATTER-ASYMMETRY-001,% RAKB: RA-MATTER-ASYMMETRY-001,
Paper II,396,section,Selective Regime and Motif Selection,Selective Regime and Motif Selection,RA-D4-001;RA-ARITH-005;RA-MOTIF-002;RA-OPEN-002,% RAKB: RA-D4-001;RA-ARITH-005;RA-MOTIF-002;RA-OPEN-002,
Paper III,164,section,From Causal Set Theory to a Macroscopic Programme,From Causal Set Theory to a Macroscopic Programme,RA-GRAV-003;RA-GRAV-004;RA-GRAV-005;RA-OPEN-003;RA-OPEN-004,% RAKB: RA-GRAV-003;RA-GRAV-004;RA-GRAV-005;RA-OPEN-003;RA-OPEN-004,
Paper III,188,section,Causal Severance: A Finite Alternative to Singular Continuation,Causal Severance: A Finite Alternative to Singular Continuation,RA-GRAV-002;RA-GRAV-003,% RAKB: RA-GRAV-002;RA-GRAV-003,
Paper III,198,subsection,Kernel saturation,Kernel saturation,RA-GRAV-002;RA-GRAV-003,% RAKB: RA-GRAV-002;RA-GRAV-003,
Paper III,261,section,Discrete Boundary Law and Black-Hole Entropy,Discrete Boundary Law and Black-Hole Entropy,RA-GRAV-005,% RAKB: RA-GRAV-005,
Paper III,265,subsection,The entropy observable,The entropy observable,RA-GRAV-004,% RAKB: RA-GRAV-004,
Paper III,284,subsection,Finiteness and interface invariance,Finiteness and interface invariance,RA-GRAV-004,% RAKB: RA-GRAV-004,
Paper III,300,subsection,Boundary decomposition,Boundary decomposition,RA-GRAV-005,% RAKB: RA-GRAV-005,
Paper III,343,section,Joint BDG/LLC Macro-Kernel,Joint BDG/LLC Macro-Kernel,RA-GRAV-006,% RAKB: RA-GRAV-006,
Paper III,353,section,Sparse-Regime Response: Orbital Profiles and Lensing,Sparse-Regime Response: Orbital Profiles and Lensing,RA-GRAV-007;RA-PRED-006;RA-OPEN-003,% RAKB: RA-GRAV-007;RA-PRED-006;RA-OPEN-003,
Paper III,359,subsection,Antichain drift as a sparse-growth statistic,Antichain drift as a sparse-growth statistic,RA-GRAV-007;RA-PRED-006;RA-OPEN-003,% RAKB: RA-GRAV-007;RA-PRED-006;RA-OPEN-003,
Paper III,375,subsection,Sparse-regime topology transition,Sparse-regime topology transition,RA-GRAV-007;RA-PRED-006;RA-OPEN-003,% RAKB: RA-GRAV-007;RA-PRED-006;RA-OPEN-003,
Paper III,385,subsection,Large-radius orbital response,Large-radius orbital response,RA-GRAV-007;RA-PRED-006;RA-OPEN-003,% RAKB: RA-GRAV-007;RA-PRED-006;RA-OPEN-003,
Paper III,393,subsection,Historical source depth and lensing offset,Historical source depth and lensing offset,RA-PRED-006;RA-OPEN-003,% RAKB: RA-PRED-006;RA-OPEN-003,
Paper III,401,subsection,Weak-equivalence tracking,Weak-equivalence tracking,RA-PRED-006;RA-OPEN-003,% RAKB: RA-PRED-006;RA-OPEN-003,
Paper III,416,section,"Expansion, Inhomogeneity, and the Cosmological-Constant Question","Expansion, Inhomogeneity, and the Cosmological-Constant Question",RA-PRED-005;RA-OPEN-004,% RAKB: RA-PRED-005;RA-OPEN-004,
Paper III,424,subsection,Environment-sensitive expansion as a native target,Environment-sensitive expansion as a native target,RA-PRED-005;RA-OPEN-004,% RAKB: RA-PRED-005;RA-OPEN-004,
Paper III,434,subsection,Immediate observational targets,Immediate observational targets,RA-PRED-005;RA-OPEN-004,% RAKB: RA-PRED-005;RA-OPEN-004,
Paper III,446,section,"Nucleation, Rotating Boundaries, and Low-\texorpdfstring{$\ell$}{l} Anomalies","Nucleation, Rotating Boundaries, and Low-l Anomalies",RA-PRED-007;RA-OPEN-005,% RAKB: RA-PRED-007;RA-OPEN-005,
Paper III,458,subsection,Rotating-boundary fit kernels,Rotating-boundary fit kernels,RA-PRED-007;RA-OPEN-005,% RAKB: RA-PRED-007;RA-OPEN-005,
Paper IV,172,section,From Causal Set Theory to a Complexity Programme,From Causal Set Theory to a Complexity Programme,RA-COMP-001;RA-COMP-002,% RAKB: RA-COMP-001;RA-COMP-002,
Paper IV,219,section,Recursive Closure and the Causal Firewall,Recursive Closure and the Causal Firewall,RA-COMP-002;RA-COMP-003;RA-COMP-008,% RAKB: RA-COMP-002;RA-COMP-003;RA-COMP-008,
Paper IV,243,subsection,Causal shields and boundary turnover,Causal shields and boundary turnover,RA-OPEN-006;RA-COMP-003,% RAKB: RA-OPEN-006;RA-COMP-003,
Paper IV,259,section,Persistence Windows and Environmental Overwrite,Persistence Windows and Environmental Overwrite,RA-OPEN-007;RA-COMP-003,% RAKB: RA-OPEN-007;RA-COMP-003,
Paper IV,276,section,Finite Assembly Depth and Reaction-Network Coarse-Graining,Finite Assembly Depth and Reaction-Network Coarse-Graining,RA-COMP-004,% RAKB: RA-COMP-004,
Paper IV,286,subsection,A minimal closure-bearing example: glycolysis,A minimal closure-bearing example: glycolysis,RA-COMP-005,% RAKB: RA-COMP-005,
Paper IV,294,subsection,The \emph{E.~coli} worked example,The E. coli worked example,RA-COMP-006,% RAKB: RA-COMP-006,
Paper IV,305,subsection,Prebiotic chemistries as an open computational target,Prebiotic chemistries as an open computational target,RA-COMP-DFT-F1-001;RA-OPEN-007,% RAKB: RA-COMP-DFT-F1-001;RA-OPEN-007,
Paper IV,316,section,Origin-of-Life Constraints and Biosignature Criteria,Origin-of-Life Constraints and Biosignature Criteria,RA-COMP-007;RA-COMP-008,% RAKB: RA-COMP-007;RA-COMP-008,
Paper IV,322,subsection,The origin-of-life sandwich bound,The origin-of-life sandwich bound,RA-COMP-007,% RAKB: RA-COMP-007,
Paper IV,335,subsection,Biosignature criteria and SETI predictions,Biosignature criteria and SETI predictions,RA-COMP-008,% RAKB: RA-COMP-008,
Paper IV,352,section,"Perception, Agency, and Consciousness: Structural Constraints","Perception, Agency, and Consciousness: Structural Constraints",RA-OPEN-008;RA-COMP-002,% RAKB: RA-OPEN-008;RA-COMP-002,
Paper IV,358,subsection,Perception as actualization anchoring,Perception as actualization anchoring,RA-OPEN-008;RA-COMP-002,% RAKB: RA-OPEN-008;RA-COMP-002,
Paper IV,366,subsection,Agency as recursive causal closure,Agency as recursive causal closure,RA-OPEN-008;RA-COMP-002,% RAKB: RA-OPEN-008;RA-COMP-002,
Paper IV,372,subsection,What RA excludes: simple panpsychism,What RA excludes: simple panpsychism,RA-OPEN-008;RA-COMP-002,% RAKB: RA-OPEN-008;RA-COMP-002,
Paper IV,378,subsection,What RA permits: artificial consciousness,What RA permits: artificial consciousness,RA-OPEN-008;RA-COMP-002,% RAKB: RA-OPEN-008;RA-COMP-002,
Paper IV,382,subsection,The open threshold problem,The open threshold problem,RA-OPEN-008;RA-COMP-002,% RAKB: RA-OPEN-008;RA-COMP-002,
