paper,source_file,output_file,section_level,section_title_plan,section_title_tex,line,mapped_node_ids,rakb_comment,status
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,subsection,The cascade exponent,The cascade exponent,655,RA-D4-CASCADE-001,% RAKB: RA-D4-CASCADE-001,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,subsection,The geometric identity,The geometric identity,659,RA-ARITH-003,% RAKB: RA-ARITH-003,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,section,"Arithmetic Core, Measured Numbers, and Non-kernel Overlays","Arithmetic Core, Measured Numbers, and Non-kernel Overlays",672,RA-ARITH-001;RA-ARITH-002;RA-PRED-001;RA-ARITH-003,% RAKB: RA-ARITH-001;RA-ARITH-002;RA-PRED-001;RA-ARITH-003,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,section,Antichain Drift as a Local Graph Statistic,Antichain Drift as a Local Graph Statistic,683,RA-GRAV-007,% RAKB: RA-GRAV-007,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,section,Formal Verification in Lean 4,Formal Verification in Lean 4,708,RA-LLC-001;RA-KERNEL-002;RA-ARITH-001,% RAKB: RA-LLC-001;RA-KERNEL-002;RA-ARITH-001,inserted
Paper I,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026.tex,RA_Paper_I_Discrete_Spacetime_Actualization_BDG_Growth_Kernel_v9_2_final_Apr2026_rakb_ids.tex,section,Suite-Level Downstream Targets,Suite-Level Downstream Targets,729,RA-PRED-001;RA-PRED-002;RA-PRED-003;RA-PRED-004;RA-PRED-005;RA-PRED-006;RA-PRED-007,% RAKB: RA-PRED-001;RA-PRED-002;RA-PRED-003;RA-PRED-004;RA-PRED-005;RA-PRED-006;RA-PRED-007,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,section,Stable Motif Sectors in the d=4 Regime,Stable Motif Sectors in the $d=4$ Regime,189,RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,% RAKB: RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,subsection,Finite closure lengths,Finite closure lengths,212,RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,% RAKB: RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,subsection,Extension census and admissible closure,Extension census and admissible closure,224,RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,% RAKB: RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,subsection,Three persistence sectors,Three persistence sectors,237,RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,% RAKB: RA-MOTIF-001;RA-MOTIF-002;RA-MOTIF-003;RA-MOTIF-004;RA-MOTIF-007,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,section,Arithmetic Spine and Nature-Facing Numerical Targets,Arithmetic Spine and Nature-Facing Numerical Targets,249,RA-ARITH-001;RA-ARITH-003;RA-ARITH-004;RA-ARITH-005;RA-ARITH-006;RA-PRED-001;RA-PRED-002,% RAKB: RA-ARITH-001;RA-ARITH-003;RA-ARITH-004;RA-ARITH-005;RA-ARITH-006;RA-PRED-001;RA-PRED-002,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,subsection,The measured fine-structure constant as a direct target,The measured fine-structure constant as a direct target,254,RA-PRED-001,% RAKB: RA-PRED-001,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,subsection,The three-angle K=2/3 ratio identity,The three-angle $K=2/3$ ratio identity,262,RA-ARITH-003,% RAKB: RA-ARITH-003,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,subsection,A dimensionless strong-interaction scale from BDG arithmetic,A dimensionless strong-interaction scale from BDG arithmetic,272,RA-ARITH-004,% RAKB: RA-ARITH-004,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,subsection,BDG selectivity and the internal strong-density scale,BDG selectivity and the internal strong-density scale,282,RA-ARITH-005,% RAKB: RA-ARITH-005,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,subsection,BDG path-weight ratio,BDG path-weight ratio,298,RA-ARITH-006;RA-PRED-004,% RAKB: RA-ARITH-006;RA-PRED-004,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,subsection,Proton-scale cascade as a native numerical programme,Proton-scale cascade as a native numerical programme,308,RA-PRED-002;RA-MATTER-NEFF-001;RA-MATTER-HADRON-TRIAD-001,% RAKB: RA-PRED-002;RA-MATTER-NEFF-001;RA-MATTER-HADRON-TRIAD-001,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,subsection,Secondary measured targets,Secondary measured targets,330,RA-PRED-003;RA-PRED-002;RA-MATTER-HADRON-TRIAD-001,% RAKB: RA-PRED-003;RA-PRED-002;RA-MATTER-HADRON-TRIAD-001,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,section,Interaction Hierarchy by Closure Burden and Renewal,Interaction Hierarchy by Closure Burden and Renewal,335,RA-MOTIF-007;RA-OPEN-002,% RAKB: RA-MOTIF-007;RA-OPEN-002,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,subsection,Long-range propagation,Long-range propagation,340,RA-MOTIF-007;RA-OPEN-002,% RAKB: RA-MOTIF-007;RA-OPEN-002,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,subsection,Finite-range weak interaction analogue,Finite-range weak interaction analogue,348,RA-MOTIF-007;RA-OPEN-002,% RAKB: RA-MOTIF-007;RA-OPEN-002,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,subsection,Confinement as finite renewal,Confinement as finite renewal,356,RA-MOTIF-007;RA-OPEN-002,% RAKB: RA-MOTIF-007;RA-OPEN-002,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,section,"Orientation, Charge, and Matter-Sector Excess","Orientation, Charge, and Matter-Sector Excess",365,RA-MOTIF-006;RA-MOTIF-008;RA-MATTER-ASYMMETRY-001,% RAKB: RA-MOTIF-006;RA-MOTIF-008;RA-MATTER-ASYMMETRY-001,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,subsection,Signed three-direction charge spectrum,Signed three-direction charge spectrum,368,RA-MOTIF-006;RA-MOTIF-008,% RAKB: RA-MOTIF-006;RA-MOTIF-008,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,subsection,Severance and information partition,Severance and information partition,381,RA-GRAV-003;RA-GRAV-004;RA-NOPAGE-001,% RAKB: RA-GRAV-003;RA-GRAV-004;RA-NOPAGE-001,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,subsection,Matter-sector excess as a severance initial condition,Matter-sector excess as a severance initial condition,387,RA-MATTER-ASYMMETRY-001,% RAKB: RA-MATTER-ASYMMETRY-001,inserted
Paper II,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026.tex,RA_Paper_II_Emergent_Matter_Interaction_Discrete_Motif_Structure_v8_tiered_restored_Apr2026_rakb_ids.tex,section,Selective Regime and Motif Selection,Selective Regime and Motif Selection,396,RA-D4-001;RA-ARITH-005;RA-MOTIF-002;RA-OPEN-002,% RAKB: RA-D4-001;RA-ARITH-005;RA-MOTIF-002;RA-OPEN-002,inserted
Paper III,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026.tex,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026_rakb_ids.tex,section,From Causal Set Theory to a Macroscopic Programme,From Causal Set Theory to a Macroscopic Programme,164,RA-GRAV-003;RA-GRAV-004;RA-GRAV-005;RA-OPEN-003;RA-OPEN-004,% RAKB: RA-GRAV-003;RA-GRAV-004;RA-GRAV-005;RA-OPEN-003;RA-OPEN-004,inserted
Paper III,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026.tex,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026_rakb_ids.tex,section,Causal Severance: A Finite Alternative to Singular Continuation,Causal Severance: A Finite Alternative to Singular Continuation,188,RA-GRAV-002;RA-GRAV-003,% RAKB: RA-GRAV-002;RA-GRAV-003,inserted
Paper III,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026.tex,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026_rakb_ids.tex,subsection,Kernel saturation,Kernel saturation,198,RA-GRAV-002;RA-GRAV-003,% RAKB: RA-GRAV-002;RA-GRAV-003,inserted
Paper III,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026.tex,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026_rakb_ids.tex,section,Discrete Boundary Law and Black-Hole Entropy,Discrete Boundary Law and Black-Hole Entropy,261,RA-GRAV-005,% RAKB: RA-GRAV-005,inserted
Paper III,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026.tex,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026_rakb_ids.tex,subsection,The entropy observable,The entropy observable,265,RA-GRAV-004,% RAKB: RA-GRAV-004,inserted
Paper III,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026.tex,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026_rakb_ids.tex,subsection,Finiteness and interface invariance,Finiteness and interface invariance,284,RA-GRAV-004,% RAKB: RA-GRAV-004,inserted
Paper III,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026.tex,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026_rakb_ids.tex,subsection,Boundary decomposition,Boundary decomposition,300,RA-GRAV-005,% RAKB: RA-GRAV-005,inserted
Paper III,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026.tex,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026_rakb_ids.tex,section,Joint BDG/LLC Macro-Kernel,Joint BDG/LLC Macro-Kernel,343,RA-GRAV-006,% RAKB: RA-GRAV-006,inserted
Paper III,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026.tex,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026_rakb_ids.tex,section,Sparse-Regime Response: Orbital Profiles and Lensing,Sparse-Regime Response: Orbital Profiles and Lensing,353,RA-GRAV-007;RA-PRED-006;RA-OPEN-003,% RAKB: RA-GRAV-007;RA-PRED-006;RA-OPEN-003,inserted
Paper III,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026.tex,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026_rakb_ids.tex,subsection,Antichain drift as a sparse-growth statistic,Antichain drift as a sparse-growth statistic,359,RA-GRAV-007;RA-PRED-006;RA-OPEN-003,% RAKB: RA-GRAV-007;RA-PRED-006;RA-OPEN-003,inserted
Paper III,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026.tex,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026_rakb_ids.tex,subsection,Sparse-regime topology transition,Sparse-regime topology transition,375,RA-GRAV-007;RA-PRED-006;RA-OPEN-003,% RAKB: RA-GRAV-007;RA-PRED-006;RA-OPEN-003,inserted
Paper III,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026.tex,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026_rakb_ids.tex,subsection,Large-radius orbital response,Large-radius orbital response,385,RA-GRAV-007;RA-PRED-006;RA-OPEN-003,% RAKB: RA-GRAV-007;RA-PRED-006;RA-OPEN-003,inserted
Paper III,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026.tex,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026_rakb_ids.tex,subsection,Historical source depth and lensing offset,Historical source depth and lensing offset,393,RA-PRED-006;RA-OPEN-003,% RAKB: RA-PRED-006;RA-OPEN-003,inserted
Paper III,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026.tex,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026_rakb_ids.tex,subsection,Weak-equivalence tracking,Weak-equivalence tracking,401,RA-PRED-006;RA-OPEN-003,% RAKB: RA-PRED-006;RA-OPEN-003,inserted
Paper III,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026.tex,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026_rakb_ids.tex,section,"Expansion, Inhomogeneity, and the Cosmological-Constant Question","Expansion, Inhomogeneity, and the Cosmological-Constant Question",416,RA-PRED-005;RA-OPEN-004,% RAKB: RA-PRED-005;RA-OPEN-004,inserted
Paper III,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026.tex,RA_Paper_III_Discrete_Gravity_Cosmology_Causal_Severance_v9_tiered_restored_Apr2026_rakb_ids.tex,subsection,Environment-sensitive expansion as a native target,Environment-sensitive expansion as a native target,424,RA-PRED-005;RA-OPEN-004,% RAKB: RA-PRED-005;RA-OPEN-004,inserted
