tree_line,path_guess,filename,stage_b_scope,reason
475,src/RA_AQFT/RA_D1_Proof.py,RA_D1_Proof.py,include,active computation source candidate
482,src/RA_AQFT/ra_dark_energy.py,ra_dark_energy.py,include,active computation source candidate
483,src/RA_AQFT/ra_desi_verify.py,ra_desi_verify.py,include,active computation source candidate
484,src/RA_AQFT/ra_early_bh.py,ra_early_bh.py,include,active computation source candidate
485,src/RA_AQFT/ra_flat_rotation_curve.py,ra_flat_rotation_curve.py,include,active computation source candidate
520,src/RA_AQFT/RA_RASM_Verification.py,RA_RASM_Verification.py,include,active computation source candidate
529,src/RA_AQFT/ra_structure_formation.py,ra_structure_formation.py,include,active computation source candidate
530,src/RA_AQFT/ra_verify_heraclitus.py,ra_verify_heraclitus.py,include,active computation source candidate
531,src/RA_AQFT/rho_native.py,rho_native.py,include,active computation source candidate
532,src/RA_AQFT/rindler_relative_entropy.py,rindler_relative_entropy.py,include,active computation source candidate
535,src/RA_AQFT/severed_outdegree.py,severed_outdegree.py,include,active computation source candidate
536,src/RA_AQFT/sigma_analysis.py,sigma_analysis.py,include,active computation source candidate
537,src/RA_AQFT/sigma_table.py,sigma_table.py,include,active computation source candidate
538,src/RA_AQFT/t1_forecast_deliverables_v2.py,t1_forecast_deliverables_v2.py,include,active computation source candidate
539,src/RA_AQFT/t1_forecast_deliverables.py,t1_forecast_deliverables.py,include,active computation source candidate
541,src/RA_AQFT/vwyler_proof.py,vwyler_proof.py,include,active computation source candidate
542,src/ra_audit.py,ra_audit.py,include,active computation source candidate
544,src/RA_Complexity/assembly_mapper.py,assembly_mapper.py,include,active computation source candidate
546,src/RA_KB/migrate_to_sqlite.py,migrate_to_sqlite.py,exclude_from_scientific_audit,history or KB tooling; audit separately as infrastructure/provenance
552,src/RA_KB/rakb_tools.py,rakb_tools.py,exclude_from_scientific_audit,history or KB tooling; audit separately as infrastructure/provenance
555,src/RA_KB/validate_rakb.py,validate_rakb.py,exclude_from_scientific_audit,history or KB tooling; audit separately as infrastructure/provenance
