historical_id,historical_status,historical_statement,historical_evidence,historical_gap,canonical_assessment,recommended_action,rationale,bucket
D28,Conjecture,"GRAND_UNIFICATION: at Planck scale μ→∞, SU(3)_colour × SU(3)_gen unify into single group acting on all six non-gravitational BDG degrees of freedom. sin²θ_W = 3/8 at unification (SU(5)-type value). ",Paper II §8,explicit GUT group identification,absent_demoted_to_cartography,"keep as conjectural cartography, not active target",GUT/unification overlay is mentioned only as downstream cartography.,absent_but_correctly_demoted_or_archived
D29,LV,"EXACT_PROTON_STABILITY: baryon number is LLC applied to N_2 spatial winding. Proton decay is structurally forbidden at every scale. Falsifiable by Hyper-K, DUNE. ","Paper II §8.4, Lean 4 baryon chirality (13 theorems)",,absent_overpruned_candidate,"create candidate linked to chirality/orientation Lean support; phrase as proton-stability target, not proof","Exact proton stability/proton decay prohibition is absent from Paper II. Potentially valuable, but needs exact source mapping.",candidate_for_restoration_or_target
D30,DR,"STRONG_CP_DISSOLUTION: θ_QCD = 0 exactly. Two independent arguments: (i) DAG has no smooth gauge-field topology, no π_3(SU(3)) winding sectors, no instantons. (ii) CP is exact symmetry of LLC N_2 charge. No axion needed (not ruled out but structurally unnecessary). ",Paper II §10.1,,absent_archive_or_bridge,do not restore as DR; possible speculative comparison note,Strong-CP dissolution is absent and should remain outside active proof graph unless formal topology claim is added.,absent_but_correctly_demoted_or_archived
D31,DR,NO_PAGE_CURVE: BH information paradox dissolved by severance partition (not information loss). Exterior radiation is genuinely mixed state throughout evaporation; entropy increases monotonically. Distinguishes RA from AdS/CFT holographic accounts. ,"Paper II §10.2, Paper III §4",,partially_present_weakened,restore only as severance-information comparison note; not as Page-curve theorem,Paper II has severance information partition but not explicit no-Page-curve claim.,present_or_explicitly_handled
D32,DR,"BARYON_ASYMMETRY_INITIAL_CONDITION: η_b ≈ 6.1×10^-10 is severance boundary LLC condition, not dynamical baryogenesis outcome. Predicts absence of baryon isocurvature signatures correlated with any proposed baryogenesis epoch. ","Paper II §10.3, Paper III §9",,present_weakened,keep as open matter-sector excess target,"Matter-sector excess as severance initial condition is present, with quantitative value open.",present_or_explicitly_handled
D33,DR,"CHARGE_QUANTIZATION_E3: electric charge quantized in units of e/3 because spatial dimensionality is exactly 3. Q_N1 ∈ {-3,-2,-1,0,1,2,3} in units of e/3 exhausts all SM charge assignments. ",Paper II §9 (was §10.3 pre-reorg),,present,retain as active/caveated orientation-charge result,Signed e/3 charge spectrum is present and mapped to RA-MOTIF-006/008.,present_or_explicitly_handled
D34,DR,"KOIDE_BREAKING_QUARKS: one-loop Casimir formula K = 2/3 + (2^(d-1) α_EM/π)(Q_N1²/9) + (α_s/π) C_2,colour with zero free parameters. Predicts K_ℓ = 0.685 (obs 0.6667, 2.8%), K_dn = 0.787 (obs 0.731, 7.6%), K_up = 0.793 (obs 0.849, 6.6%). ",Paper II §3.2,,absent_correctly_demoted,keep as downstream numerical cartography; do not restore in active text,Quark Koide-breaking formula is absent; current text only preserves Koide identity as mathematical support and rest-mass embedding open.,absent_but_correctly_demoted_or_archived
D35,Conjecture,"CABIBBO_SU3GEN: θ_lep = 2/(N_gen · N_col) = 2/9 rad. Predicts |V_us| = sin(2/9) = 0.2204 (obs 0.22453, 1.8%). ",Paper II §3.3,,absent_candidate_only,optional restoration candidate under flavor numerics,Cabibbo formula absent except citation; not active support.,candidate_for_restoration_or_target
D36,Conjecture,"VCB_HAAR: |V_cb| = (2/π) δ = 3α_s(μ)/(2π²) = 0.0424 (obs 0.0421, 0.4%). δ = 3α_s/(4π) = Casimir displacement of up/dn sectors from lepton θ_0. ",Paper II §3.3,,absent_candidate_only,optional restoration candidate under flavor numerics,V_cb formula absent.,candidate_for_restoration_or_target
D37,DR,"MAJORANA_NEUTRINOS: SU(3)_gen structure with K = 2/3 in Majorana convention requires one signed √m_k to be negative. RA predicts neutrinos are Majorana (testable via 0νββ experiments). Σm_ν ≈ 59 meV, m_1 ≈ 0.36 meV. ",Paper II §3.4,,absent_target_candidate,optional neutrino/Majorana target candidate if source-backed,Majorana neutrino prediction absent.,candidate_for_restoration_or_target
D38,CV,F0_EXACT_ENUMERATION: W_baryon = 3/2 exact; W_other = 25.97 from BDG enumeration; f_0 = 17.32 × α_s(2m_p) = 5.40. Planck: 5.416 (0.3%). The 17.32 is fully RA-native; α_s(2m_p) uses standard SM RG running from UV fixed point α_s(m_Z) = 1/√72. ,Paper II §4.8,,present_weakened_correctly,retain native 17.32 ratio; keep final f0 abundance comparison as bridge/cartography,Canonical Paper II keeps W_other/W_baryon=17.32 but demotes cosmological abundance use.,present_or_explicitly_handled
D39,DR,"HIERARCHICAL_DECOHERENCE: Markov blanket theorem (Lean-verified) provides structural decoherence mechanism at every coarse-graining tier. Interior dynamics shielded from exterior except through boundary. Explains biological quantum coherence (photosynthesis, olfactory, magnetoreception) as structural rather than anomalous. ",Paper IV §2.3,,explicitly_demoted,do not restore as Markov-blanket theorem; keep RA-OPEN-006 causal shield target,Paper IV explicitly says earlier Markov-blanket support was too strong and replaces it with a causal shield programme.,present_or_explicitly_handled
D40,AR,"PERCEPTION_AS_ACTUALIZATION: perception = actualization anchoring in observer's subgraph. First-person, irreversible, rate-limited. AGENCY_AS_CLOSURE: agency = recursive causal closure in Tier-4. CONSCIOUSNESS_CONDITION: necessary condition for phenomenal consciousness is F1 + F2 + Ã_RA > Ã_RA* ≈ 5. Excludes panpsychism; permits artificial consciousness in principle. ",Paper IV §7,,present_weakened_correctly,retain structural perception/agency/consciousness framework; no numeric threshold yet,Paper IV contains perception/agency/consciousness constraints but weakens threshold numerics.,present_or_explicitly_handled
D41,CV,"ECOLI_DEPTH: E. coli has Ã_RA ≈ 4-6 layers via recursive coarse- graining of ~2500 enzymatic reactions into ~40 pathways into ~8 metabolic supergroups into 1 organism. Places E. coli above origin- of-life minimum N_min = 2-5, consistent with 3.5 Gyr evolution. ",Paper IV §4.2,,present,retain; map to RA-COMP-006,E. coli assembly-depth estimate is present.,present_or_explicitly_handled
D42,CV,"DFT_F1_SUPPORT: B3LYP/6-311+G* calculations on formamide, HCN, glycine, adenine precursors confirm R_QD > 1 at T=300K. Computational support for F1 in RNA-world parameter range. ",Paper IV §4.3,,present_as_open_target,do not promote DFT as active support; keep computational target,Paper IV explicitly demotes DFT overlays to open computation.,present_or_explicitly_handled
D43,DR,"KINEMATIC_COHERENCE_BOUND: N_max = η / p_th = η / α_EM for fault- tolerant quantum arrays. Hard kinematic ceiling, not operational. Standard decoherence theory: exponentially difficult but unbounded scaling. RA: hard ceiling. Distinguishable at ~1000 logical qubits. ",Paper IV §5.1,,mostly_absent_target,add restoration candidate/target for KCB if desired; not active support,"Kinematic Coherence Bound appears only as deferred suite-level target, not in Paper IV.",candidate_for_restoration_or_target
D44,DR,"SPIN_BATH_COLLAPSE: t* = (1/g)√(ΔS*/2) = 0.274/g, parameter-free. Distinguishes RA from GRW/CSL (different parameter dependences). ",Paper IV §5.3,,mostly_absent_target,add restoration candidate/target for spin-bath collapse if desired,"Spin-bath collapse appears only as deferred target, not as Paper IV result.",candidate_for_restoration_or_target
D45,DR,LANDAUER_BOUND: ΔE ≥ k_B T ln 2 per bit erased derives from actualization thermodynamics. Minimum actualization cost at minimum non-trivial information content (log 2 nats). ,Paper IV §5.4,,demoted_to_nonactive,keep thermodynamic actualization as future target; no active theorem,Landauer-style bounds are explicitly non-active support.,present_or_explicitly_handled
D46,DR,MAXWELL_DEMON_DISSOLVED: demon's information-processing cost is actualization cost of observation + Landauer cost of memory erasure. Total ≥ entropy reduction achieved. Second law preserved structurally. ,Paper IV §5.5,,absent_candidate_only,optional future thermodynamics target,Maxwell demon dissolution absent.,candidate_for_restoration_or_target
D47,CV,"SCHRODINGER_AS_LOW_DENSITY_LIMIT: Schrödinger equation is the Level-2 statistical continuum limit of Level-1 discrete BDG dynamics at μ << 1. Classical mechanics is the μ >> 1 limit. Smooth transition, no Heisenberg cut at any specific scale. ",Paper I §7.1,,present_only_as_comparison,keep under RA-OPEN-009 frequency-law target; do not restore as Schrödinger derivation,Paper I says wave-equation/frequency laws remain open.,present_or_explicitly_handled
D48,DR,"C_AS_BANDWIDTH: c = ℓ_P/t_P is the maximum causal bandwidth of the growing graph, not a postulated constant. Light travels at c because photons are the fastest on-shell BDG pattern. ",Paper I §8.1,,present,promote/source-reference as Stage-C restoration candidate or claim if desired,c as graph bandwidth ratio is present in Paper I.,present_or_explicitly_handled
D49,DR,PROPER_TIME_INTEGER_COUNT: proper time τ = N_actualization · t_P is literally the integer count of actualization events along a worldline. Time dilation = different rates of actualization per unit coordinate time. ,Paper I §8.2,,present,promote/source-reference as Stage-C restoration candidate or claim if desired,Proper time as event count is present in Paper I.,present_or_explicitly_handled
D50,DR,"E_GAMMA_M_C2_FROM_FREQUENCY: E = γmc² is the actualization frequency of a pattern in the observer's frame. f_0 = mc²/h (rest frame Compton frequency), f = f_0/γ (time-dilated in moving frame), E = h f_0 · γ = γmc². ",Paper I §8.3,,absent_open_target,add restoration candidate under RA-OPEN-009; no active claim yet,E=γmc² as actualization frequency is absent; frequency law remains open.,candidate_for_restoration_or_target
D51,DR,"SINGULARITY_TERMINATION: no divergences at BH centers or Big Bang. When local μ approaches bandwidth ceiling, filter saturates and causal severance (topological partition) occurs. No physical quantity diverges. ",Paper I §8.4,,present_weakened,map to RA-GRAV-003 and RA-GRAV-SINGULARITY-001; keep as saturation/partition conjecture,Singularity termination appears as saturation/partition conjecture and Paper III causal severance.,present_or_explicitly_handled
