path,lineno,claim_ref,context
src/RA_AQFT/d4u02_enumeration.py,2,D4U02,Canonical D4U02 Enumeration
src/RA_AQFT/d4u02_enumeration.py,14,D4U02,This is the CANONICAL reference script for d=4 D4U02 computations.
src/RA_AQFT/d4u02_enumeration.py,152,D4U02,"print(""D4U02 Certified Computation (d=4)"")"
src/RA_AQFT/d4u02_enumeration.py,2,D4U02,Canonical D4U02 Enumeration
src/RA_AQFT/d4u02_enumeration.py,14,D4U02,This is the CANONICAL reference script for d=4 D4U02 computations.
src/RA_AQFT/d4u02_enumeration.py,152,D4U02,"print(""D4U02 Certified Computation (d=4)"")"
src/RA_AQFT/n_eff_mc_test.py,18,D4U02,Filter: vertex accepted iff S > 0 (same convention as D4U02 setup)
src/RA_AQFT/n_eff_mc_test.py,18,D4U02,Filter: vertex accepted iff S > 0 (same convention as D4U02 setup)
src/RA_AQFT/o14_proof.py,8,D4U02,(3) D4U02 dimension selection [d=4 uniquely]
src/RA_AQFT/o14_proof.py,347,D4U02,D4U02 establishes that d=4 is the unique dimension where the
src/RA_AQFT/o14_proof.py,408,D4U02,Step E (D4U02):
src/RA_AQFT/o14_proof.py,8,D4U02,(3) D4U02 dimension selection [d=4 uniquely]
src/RA_AQFT/o14_proof.py,347,D4U02,D4U02 establishes that d=4 is the unique dimension where the
src/RA_AQFT/o14_proof.py,408,D4U02,Step E (D4U02):
src/RA_AQFT/rindler_relative_entropy.py,17,D2,record-forming event. See RAGC Section on D2 for the precise
