node_id,node_type,name,domain,papers_field,status,kind,artifact_edge_count,artifact_relations,verification_statuses,source_text_ref_count,source_text_relations,support_tier,gap_class,recommended_action,caveats,next_tasks,source_text_labels,artifact_ids
RA-D4-001,claim,D4U02 selectivity ceiling,arithmetic,I;III,derived_native,derived_result,6,candidate_support;computational_source;computes;computes_candidate;prose_derivation,native_candidate;native_strong;uploaded_verified,5,canonical_tex_projection,candidate_or_phenomenology_support,crosslinked,No immediate action beyond normal review.,Analytic modular-barrier closure reported and D4U02 sources pinned; Lean formalization still open.,,"Paper I — section: The Actualization Criterion: Kernel First, Comparative Readouts Second || Paper I — section: The Present Case for d=4 || Paper I — subsection: The D4U02 analytic gap || Paper I — subsection: The selectivity profile || Paper II — section: Selective Regime and Motif Selection",ART-0001;ART-0015;ART-PY-cross_dimensional_exclusion;ART-PY-d4u02_enumeration;ART-PY-o14_incidence_algebra;ART-PY-o14_proof
RA-D4-002,claim,D4U02 modular barrier,arithmetic,I,derived_native,derived_result,3,computes;computes_candidate;prose_derivation,native_candidate;native_strong;uploaded_verified,2,canonical_tex_projection,candidate_or_phenomenology_support,crosslinked,No immediate action beyond normal review.,Needs final formalization.,,Paper I — section: The Present Case for d=4 || Paper I — subsection: The D4U02 analytic gap,ART-0001;ART-PY-cross_dimensional_exclusion;ART-PY-d4u02_enumeration
RA-ARITH-003,claim,Koide ratio identity,arithmetic,II,lean_verified_or_compiled_native,formalized_result,2,benchmarks;formal_source,hybrid_candidate;uploaded_verified,4,canonical_tex_projection,formal_or_lean_support,crosslinked,No immediate action beyond normal review.,Physical embedding into rest masses remains open.,,"Paper I — section: Arithmetic Core, Measured Numbers, and Non-kernel Overlays || Paper I — subsection: The geometric identity || Paper II — section: Arithmetic Spine and Nature-Facing Numerical Targets || Paper II — subsection: The three-angle K=2/3 ratio identity",ART-0009;ART-PY-RA_RASM_Verification
RA-ARITH-004,claim,Dimensionless strong-interaction scale,arithmetic,II,derived_native,derived_result,9,benchmarks;candidate_support;computational_source;computes_candidate,hybrid_candidate;native_candidate;uploaded_verified,2,canonical_tex_projection,candidate_or_phenomenology_support,crosslinked,No immediate action beyond normal review.,"Comparison to QCD α_s is cartography, not mechanism.",,Paper II — section: Arithmetic Spine and Nature-Facing Numerical Targets || Paper II — subsection: A dimensionless strong-interaction scale from BDG arithmetic,ART-0014;ART-0027;ART-PY-D1_BDG_MCMC_simulation;ART-PY-d1_BDG_string_tension;ART-PY-d3_alpha_s_BDG;ART-PY-d3_alpha_s_proof;ART-PY-d3i_complete;ART-PY-qcd_running_proof;ART-PY-vwyler_proof
RA-ARITH-005,claim,Internal density scale from selectivity,arithmetic,II;III,derived_native,derived_result,6,blocked;candidate_support;computational_source;computes,blocked_parse_error;hybrid_candidate;native_strong;phenomenology;uploaded_verified,5,canonical_tex_projection,candidate_or_phenomenology_support,crosslinked,No immediate action beyond normal review.,Physical embedding remains partially interpretive.,,Paper I — section: The Present Case for d=4 || Paper I — subsection: The selectivity profile || Paper II — section: Arithmetic Spine and Nature-Facing Numerical Targets || Paper II — section: Selective Regime and Motif Selection || Paper II — subsection: BDG selectivity and the internal strong-density scale,ART-0015;ART-0019;ART-PY-d4u02_enumeration;ART-PY-mu_derivation;ART-PY-mu_int_derive;ART-PY-ra_calibration
RA-ARITH-006,claim,BDG path-weight ratio,arithmetic,II,derived_native,derived_result,2,computational_source;computes_candidate,hybrid_candidate;uploaded_verified,2,canonical_tex_projection,candidate_or_phenomenology_support,crosslinked,No immediate action beyond normal review.,Downstream uses require care.,,Paper II — section: Arithmetic Spine and Nature-Facing Numerical Targets || Paper II — subsection: BDG path-weight ratio,ART-0017;ART-PY-f0_enumeration
RA-MOTIF-001,claim,Native motif sector definition,matter,II,axiom_or_stated_foundation,foundation,0,,,5,canonical_tex_projection;textual_reference_or_paper_source,textual_foundation,paper_projected_foundation_no_artifact_needed,No immediate action beyond normal review.,Mapping to all observed species remains open.,,Paper II — section: Stable Motif Sectors in the d=4 Regime || Paper II — subsection: Extension census and admissible closure || Paper II — subsection: Finite closure lengths || Paper II — subsection: Three persistence sectors || RA Paper II,
RA-MOTIF-002,claim,Stable motif census,matter,II,lean_verified_or_compiled_native,formalized_result,5,computes_candidate;formal_source;restoration_source,lean_build_confirmed_no_sorry_namespace_hazard;native_candidate;uploaded_compiles_user_verified,6,canonical_tex_projection,formal_or_lean_support,crosslinked,No immediate action beyond normal review.,Exact observational cartography remains open.,,Paper I — section: The Present Case for d=4 || Paper II — section: Selective Regime and Motif Selection || Paper II — section: Stable Motif Sectors in the d=4 Regime || Paper II — subsection: Extension census and admissible closure || Paper II — subsection: Finite closure lengths || Paper II — subsection: Three persistence sectors,ART-0004;ART-0006;ART-LEAN-RA_D1_Core_draft;ART-PY-RA_BDG_Simulation;ART-PY-RA_D1_Proof
RA-MOTIF-003,claim,Minimal closure windows,matter,II,lean_verified_or_compiled_native,formalized_result,7,candidate_support;computes_candidate;formal_source;restoration_source,lean_build_confirmed_no_sorry_namespace_hazard;native_candidate;uploaded_compiles_user_verified,4,canonical_tex_projection,formal_or_lean_support,crosslinked,No immediate action beyond normal review.,Terminology Lg/Lq should remain native or clearly cartographic.,,Paper II — section: Stable Motif Sectors in the d=4 Regime || Paper II — subsection: Extension census and admissible closure || Paper II — subsection: Finite closure lengths || Paper II — subsection: Three persistence sectors,ART-0005;ART-LEAN-RA_D1_Core_draft;ART-PY-RA_BDG_Simulation;ART-PY-RA_D1_Proof;ART-PY-n_eff_alternative;ART-PY-n_eff_factorization;ART-PY-n_eff_mc_test
RA-MOTIF-004,claim,Extension census,matter,II,lean_verified_or_compiled_native,formalized_result,4,computes_candidate;formal_source;restoration_source,lean_build_confirmed_no_sorry_namespace_hazard;native_candidate;uploaded_compiles_user_verified,4,canonical_tex_projection,formal_or_lean_support,crosslinked,No immediate action beyond normal review.,Full spectrum mapping remains open.,,Paper II — section: Stable Motif Sectors in the d=4 Regime || Paper II — subsection: Extension census and admissible closure || Paper II — subsection: Finite closure lengths || Paper II — subsection: Three persistence sectors,ART-0004;ART-LEAN-RA_D1_Core_draft;ART-PY-RA_BDG_Simulation;ART-PY-RA_D1_Proof
RA-MOTIF-005,claim,Depth-2 ledger/orientation structure,matter,II,lean_verified_or_compiled_native,formalized_result,3,computes_candidate;formal_source;restoration_source,lean_build_confirmed_no_sorry_namespace_hazard;native_candidate;uploaded_compiles_user_verified,0,,formal_or_lean_support,source_backed_no_canonical_text_projection,Add/confirm canonical TeX RAKB projection comment or demote source edge if intentionally omitted.,Baryon chirality interpretation requires careful cartography.,,,ART-0007;ART-LEAN-RA_D1_Core_draft;ART-PY-RA_D1_Proof
RA-MOTIF-006,claim,Signed three-direction charge spectrum,matter,II,derived_native,derived_result,2,benchmarks;formal_source,hybrid_candidate;uploaded_compiles_user_verified,3,canonical_tex_projection;textual_reference_or_paper_source,formal_or_lean_support,crosslinked,No immediate action beyond normal review.,Complete species assignment remains open.,,"Paper II — section: Orientation, Charge, and Matter-Sector Excess || Paper II — subsection: Signed three-direction charge spectrum || RA Paper II",ART-0007;ART-PY-RA_RASM_Verification
RA-MOTIF-007,claim,Confinement as finite renewal,matter,II,derived_native,derived_result,7,candidate_support;computes_candidate;formal_source;restoration_source,hybrid_candidate;lean_build_confirmed_no_sorry_namespace_hazard;uploaded_compiles_user_verified,9,canonical_tex_projection;textual_reference_or_paper_source,formal_or_lean_support,crosslinked,No immediate action beyond normal review.,No direct scattering/hadronization predictions yet.,,Paper II — section: Interaction Hierarchy by Closure Burden and Renewal || Paper II — section: Stable Motif Sectors in the d=4 Regime || Paper II — subsection: Confinement as finite renewal || Paper II — subsection: Extension census and admissible closure || Paper II — subsection: Finite closure lengths || Paper II — subsection: Finite-range weak interaction analogue || Paper II — subsection: Long-range propagation || Paper II — subsection: Three persistence sectors || RA Paper II,ART-0005;ART-LEAN-RA_D1_Core_draft;ART-PY-D1_BDG_MCMC_simulation;ART-PY-pathwise_exit;ART-PY-rho_native;ART-PY-sigma_analysis;ART-PY-sigma_table
RA-GRAV-001,claim,Kernel–Poisson divergence identity,gravity,I;III,derived_native,derived_result,1,computational_source,uploaded_verified,4,canonical_tex_projection;textual_reference_or_paper_source,artifact_linked_but_weakly_typed,crosslinked,No immediate action beyond normal review.,Poisson-CSG approximation.,,Paper I — section: The BDG Filter and Acceptance Kernel || Paper I — subsection: Kernel saturation theorem || Paper I — subsection: The actualization threshold || RA Paper I/III,ART-0018
RA-GRAV-002,claim,Asymptotic kernel saturation,gravity,I;III,derived_native,derived_result,2,computational_source;computes_candidate,native_candidate;uploaded_verified,5,canonical_tex_projection,candidate_or_phenomenology_support,crosslinked,No immediate action beyond normal review.,Physical severance onset requires further dynamics.,,Paper I — section: The BDG Filter and Acceptance Kernel || Paper I — subsection: Kernel saturation theorem || Paper I — subsection: The actualization threshold || Paper III — section: Causal Severance: A Finite Alternative to Singular Continuation || Paper III — subsection: Kernel saturation,ART-0018;ART-PY-kernel_saturation
RA-GRAV-003,claim,Causal severance,gravity,III,derived_native,derived_result,6,candidate_support;computational_source;computes_candidate;supports,lean_build_confirmed_no_sorry;native_candidate;phenomenology;uploaded_verified,6,canonical_tex_projection;textual_reference_or_paper_source,formal_or_lean_support,crosslinked,No immediate action beyond normal review.,Local onset dynamics still open.,,Paper I — subsection: Bandwidth saturation and severance onset || Paper II — subsection: Severance and information partition || Paper III — section: Causal Severance: A Finite Alternative to Singular Continuation || Paper III — section: From Causal Set Theory to a Macroscopic Programme || Paper III — subsection: Kernel saturation || RA Paper III,ART-0018;ART-LEAN-RA_D3_CausalSeverance;ART-PY-branching_volume;ART-PY-daughter_universe;ART-PY-kernel_saturation;ART-PY-ra_early_bh
RA-GRAV-004,claim,Severed-link entropy observable,gravity,III,derived_native,derived_result,2,computes_candidate;supports,lean_build_confirmed_no_sorry;native_candidate,5,canonical_tex_projection;textual_reference_or_paper_source,formal_or_lean_support,crosslinked,No immediate action beyond normal review.,Metric prefactor translation open.,,Paper II — subsection: Severance and information partition || Paper III — section: From Causal Set Theory to a Macroscopic Programme || Paper III — subsection: Finiteness and interface invariance || Paper III — subsection: The entropy observable || RA Paper III,ART-LEAN-RA_D3_CausalSeverance;ART-PY-severed_outdegree
RA-GRAV-005,claim,Discrete boundary law,gravity,III,derived_native,derived_result,1,computes_candidate,native_candidate,4,canonical_tex_projection;textual_reference_or_paper_source,candidate_or_phenomenology_support,crosslinked,No immediate action beyond normal review.,Prefactor matching measured horizon entropy not yet derived natively.,,Paper III — section: Discrete Boundary Law and Black-Hole Entropy || Paper III — section: From Causal Set Theory to a Macroscopic Programme || Paper III — subsection: Boundary decomposition || RA Paper III,ART-PY-severed_outdegree
RA-GRAV-006,claim,Joint BDG/LLC macro-kernel dimension,gravity,III,lean_verified_or_compiled_native,formalized_result,2,computes_candidate;formal_source,native_candidate;uploaded_verified,1,canonical_tex_projection,formal_or_lean_support,crosslinked,No immediate action beyond normal review.,Do not identify with spin-2/gravitons except as cartography.,,Paper III — section: Joint BDG/LLC Macro-Kernel,ART-0002;ART-PY-cross_dimensional_exclusion
RA-GRAV-007,claim,Antichain drift local statistic,cosmology,I;III,derived_native,derived_result,3,candidate_support;computational_source;computes_candidate,native_candidate;uploaded_verified,5,canonical_tex_projection,candidate_or_phenomenology_support,crosslinked,No immediate action beyond normal review.,Not a complete cosmological expansion law.,,Paper I — section: Antichain Drift as a Local Graph Statistic || Paper III — section: Sparse-Regime Response: Orbital Profiles and Lensing || Paper III — subsection: Antichain drift as a sparse-growth statistic || Paper III — subsection: Large-radius orbital response || Paper III — subsection: Sparse-regime topology transition,ART-0012;ART-PY-antichain_drift;ART-PY-d2_two_phases
RA-COMP-001,claim,Tier hierarchy,complexity,IV,derived_native,derived_result,0,,,2,canonical_tex_projection;textual_reference_or_paper_source,textual_only_needs_artifact_or_caveat,paper_projected_textual_only_claim,"Either attach source artifact edge, demote to restoration candidate, or mark as prose-derived with explicit caveat.",Faithful coarse-graining theorem open.,,Paper IV — section: From Causal Set Theory to a Complexity Programme || RA Paper IV,
RA-COMP-002,claim,Recursive closure,complexity,IV,derived_native,derived_result,0,,,9,canonical_tex_projection;textual_reference_or_paper_source,textual_only_needs_artifact_or_caveat,paper_projected_textual_only_claim,"Either attach source artifact edge, demote to restoration candidate, or mark as prose-derived with explicit caveat.",Quantitative threshold open.,,"Paper IV — section: From Causal Set Theory to a Complexity Programme || Paper IV — section: Perception, Agency, and Consciousness: Structural Constraints || Paper IV — section: Recursive Closure and the Causal Firewall || Paper IV — subsection: Agency as recursive causal closure || Paper IV — subsection: Perception as actualization anchoring || Paper IV — subsection: The open threshold problem || Paper IV — subsection: What RA excludes: simple panpsychism || Paper IV — subsection: What RA permits: artificial consciousness || RA Paper IV",
RA-COMP-003,claim,Causal Firewall conditions,complexity,IV,derived_native,derived_result,2,formal_source;supports,lean_build_confirmed_no_sorry;uploaded_compiles_user_verified,4,canonical_tex_projection;textual_reference_or_paper_source,formal_or_lean_support,crosslinked,No immediate action beyond normal review.,Full shield theorem open. RA_GraphCore_Native.lean supplies active native causal-shield vocabulary.,,Paper IV — section: Persistence Windows and Environmental Overwrite || Paper IV — section: Recursive Closure and the Causal Firewall || Paper IV — subsection: Causal shields and boundary turnover || RA Paper IV,ART-0008;ART-LEAN-RA_D4_CausalFirewall
RA-COMP-004,claim,RA assembly depth,complexity,IV,derived_native,derived_result,3,blocked_missing_dependency;candidate_support,blocked_missing_dependency;external_dependency,2,canonical_tex_projection;textual_reference_or_paper_source,candidate_or_phenomenology_support,crosslinked,No immediate action beyond normal review.,Operational estimates need computational formalization.,,Paper IV — section: Finite Assembly Depth and Reaction-Network Coarse-Graining || RA Paper IV,ART-PY-actualization_thermo;ART-PY-assembly_mapper;ART-PY-thermo_batch_b3lyp
RA-COMP-005,claim,Glycolysis assembly depth estimate,complexity,IV,derived_native,derived_result,3,blocked_missing_dependency;candidate_support,blocked_missing_dependency;external_dependency,2,canonical_tex_projection;textual_reference_or_paper_source,candidate_or_phenomenology_support,crosslinked,No immediate action beyond normal review.,Illustrative; needs native computational implementation.,,Paper IV — subsection: A minimal closure-bearing example: glycolysis || RA Paper IV,ART-PY-actualization_thermo;ART-PY-assembly_mapper;ART-PY-thermo_batch_b3lyp
RA-COMP-006,claim,E. coli assembly depth estimate,complexity,IV,derived_native,derived_result,0,,,2,canonical_tex_projection;textual_reference_or_paper_source,textual_only_needs_artifact_or_caveat,paper_projected_textual_only_claim,"Either attach source artifact edge, demote to restoration candidate, or mark as prose-derived with explicit caveat.",Partition-dependent estimate.,,Paper IV — subsection: The E.~coli worked example || RA Paper IV,
RA-COMP-007,claim,Origin-of-life sandwich bound,complexity,IV,derived_native,derived_result,1,supports,lean_build_confirmed_no_sorry,3,canonical_tex_projection;textual_reference_or_paper_source,formal_or_lean_support,crosslinked,No immediate action beyond normal review.,Quantitative persistence formula open.,,Paper IV — section: Origin-of-Life Constraints and Biosignature Criteria || Paper IV — subsection: The origin-of-life sandwich bound || RA Paper IV,ART-LEAN-RA_D4_CausalFirewall
RA-COMP-008,claim,Substrate-independent biosignature criteria,complexity,IV,derived_native,derived_result,0,,,4,canonical_tex_projection;textual_reference_or_paper_source,textual_only_needs_artifact_or_caveat,paper_projected_textual_only_claim,"Either attach source artifact edge, demote to restoration candidate, or mark as prose-derived with explicit caveat.",Needs empirical operationalization.,,Paper IV — section: Origin-of-Life Constraints and Biosignature Criteria || Paper IV — section: Recursive Closure and the Causal Firewall || Paper IV — subsection: Biosignature criteria and SETI predictions || RA Paper IV,
RA-MOTIF-008,claim,Orientation/chirality theorem family,matter,II,lean_verified_or_compiled_native,formalized_result,4,computes_candidate;formal_source;restoration_source,lean_build_confirmed_no_sorry_namespace_hazard;native_candidate;uploaded_compiles_user_verified,2,canonical_tex_projection,formal_or_lean_support,crosslinked,No immediate action beyond normal review.,Physical baryon-chirality interpretation remains cartography until mapped to measured species.,Audit RA_CausalOrientation_Core.lean imports and theorem family against current Lean tree.,"Paper II — section: Orientation, Charge, and Matter-Sector Excess || Paper II — subsection: Signed three-direction charge spectrum",ART-0003;ART-0007;ART-LEAN-RA_D1_Core_draft;ART-PY-RA_D1_Proof
RA-KERNEL-004,issue,Stochastic actualization kernel requirement,kernel,I,open,open_native_target,0,,,6,canonical_tex_projection;textual_reference_or_paper_source,textual_only_needs_artifact_or_caveat,paper_projected_open_or_framing_no_artifact_required_but_track,Keep caveated; prioritize formal/computational source mapping if this is central.,Full local measure family not yet closed.,,"Paper I — section: The Actualization Criterion: Kernel First, Comparative Readouts Second || Paper I — section: The Sequential Growth Rule || Paper I — subsection: A worked toy growth step || Paper I — subsection: Relation to classical sequential growth || Paper I — subsection: The bimodal ontology || RA Paper I, Axiom 5",
RA-KERNEL-005,issue,Discrete covariance target,kernel,I,open,open_native_target,0,,,1,textual_reference_or_paper_source,textual_only_needs_artifact_or_caveat,paper_projected_open_or_framing_no_artifact_required_but_track,Keep caveated; prioritize formal/computational source mapping if this is central.,Not yet theorem-level.,,"RA Paper I, CST/CSG covariance remark",
RA-OPEN-001,issue,Full motif-to-spectrum cartography,matter,II,open,open_native_target,4,candidate_support,hybrid_candidate;native_candidate,1,textual_reference_or_paper_source,candidate_or_phenomenology_support,crosslinked,No immediate action beyond normal review.,Major open programme.,,RA Paper II,ART-PY-bdg_multicoupling;ART-PY-n_eff_alternative;ART-PY-n_eff_factorization;ART-PY-n_eff_mc_test
RA-OPEN-002,issue,Scattering and decay predictions,matter,II,open,open_native_target,6,benchmarks;candidate_support,hybrid_candidate,6,canonical_tex_projection;textual_reference_or_paper_source,candidate_or_phenomenology_support,crosslinked,No immediate action beyond normal review.,Requires native statistical dynamics.,,Paper II — section: Interaction Hierarchy by Closure Burden and Renewal || Paper II — section: Selective Regime and Motif Selection || Paper II — subsection: Confinement as finite renewal || Paper II — subsection: Finite-range weak interaction analogue || Paper II — subsection: Long-range propagation || RA Paper II,ART-PY-bdg_multicoupling;ART-PY-d3i_complete;ART-PY-pathwise_exit;ART-PY-rho_native;ART-PY-sigma_analysis;ART-PY-sigma_table
RA-OPEN-003,issue,Coefficient-level orbital/lensing source law,gravity,III,open,open_native_target,2,benchmarks,phenomenology,8,canonical_tex_projection;textual_reference_or_paper_source,candidate_or_phenomenology_support,crosslinked,No immediate action beyond normal review.,Major open target.,,Paper III — section: From Causal Set Theory to a Macroscopic Programme || Paper III — section: Sparse-Regime Response: Orbital Profiles and Lensing || Paper III — subsection: Antichain drift as a sparse-growth statistic || Paper III — subsection: Historical source depth and lensing offset || Paper III — subsection: Large-radius orbital response || Paper III — subsection: Sparse-regime topology transition || Paper III — subsection: Weak-equivalence tracking || RA Paper III,ART-PY-bullet_cluster;ART-PY-ra_flat_rotation_curve
RA-OPEN-004,issue,Environment-sensitive expansion law,cosmology,III,open,open_native_target,15,benchmarks;candidate_support;computes_candidate;generated_output_for;needs_runtime_hardening,native_candidate;phenomenology;uploaded_unverified_exploratory,5,canonical_tex_projection;textual_reference_or_paper_source,candidate_or_phenomenology_support,crosslinked,No immediate action beyond normal review.,Current scripts are exploratory phenomenology.,,"Paper III — section: Expansion, Inhomogeneity, and the Cosmological-Constant Question || Paper III — section: From Causal Set Theory to a Macroscopic Programme || Paper III — subsection: Environment-sensitive expansion as a native target || Paper III — subsection: Immediate observational targets || RA Paper III",ART-0022;ART-0023;ART-DATA-endpoint_ap_table;ART-DATA-sensitivity_matrix;ART-DATA-toy_model_bracket_table;ART-PY-antichain_drift;ART-PY-d2_two_phases;ART-PY-hard_wall_4_summary;ART-PY-ra_calibration;ART-PY-ra_dark_energy;ART-PY-ra_desi_verify;ART-PY-ra_structure_formation;ART-PY-ra_verify_heraclitus;ART-PY-t1_forecast_deliverables;ART-PY-t1_forecast_deliverables_v2
RA-OPEN-005,issue,Low-l CMB / Axis-of-Evil severance inheritance,cosmology,III,open,open_native_target,4,candidate_support,native_candidate;phenomenology;uploaded_unverified_exploratory,3,canonical_tex_projection;textual_reference_or_paper_source,candidate_or_phenomenology_support,crosslinked,No immediate action beyond normal review.,Exploratory.,,"Paper III — section: Nucleation, Rotating Boundaries, and Low- l Anomalies || Paper III — subsection: Rotating-boundary fit kernels || RA Paper III",ART-0016;ART-PY-branching_volume;ART-PY-daughter_universe;ART-PY-ra_early_bh
RA-OPEN-006,issue,Causal shield theorem,complexity,IV,open,open_native_target,2,formal_source;supports,lean_build_confirmed_no_sorry;uploaded_compiles_user_verified,2,canonical_tex_projection;textual_reference_or_paper_source,formal_or_lean_support,crosslinked,No immediate action beyond normal review.,Major open theorem. RA_GraphCore_Native.lean supplies active native causal-shield vocabulary.,,Paper IV — subsection: Causal shields and boundary turnover || RA Paper IV,ART-0008;ART-LEAN-RA_GraphCore
RA-OPEN-007,issue,Persistence-window formula,complexity,IV,open,open_native_target,0,,,3,canonical_tex_projection;textual_reference_or_paper_source,textual_only_needs_artifact_or_caveat,paper_projected_open_or_framing_no_artifact_required_but_track,Keep caveated; prioritize formal/computational source mapping if this is central.,High-priority computational/theoretical target.,,Paper IV — section: Persistence Windows and Environmental Overwrite || Paper IV — subsection: Prebiotic chemistries as an open computational target || RA Paper IV,
RA-OPEN-008,issue,Consciousness threshold problem,complexity,IV,open,open_native_target,0,,,7,canonical_tex_projection;textual_reference_or_paper_source,textual_only_needs_artifact_or_caveat,paper_projected_open_or_framing_no_artifact_required_but_track,Keep caveated; prioritize formal/computational source mapping if this is central.,Exploratory; no sufficient theory claimed.,,"Paper IV — section: Perception, Agency, and Consciousness: Structural Constraints || Paper IV — subsection: Agency as recursive causal closure || Paper IV — subsection: Perception as actualization anchoring || Paper IV — subsection: The open threshold problem || Paper IV — subsection: What RA excludes: simple panpsychism || Paper IV — subsection: What RA permits: artificial consciousness || RA Paper IV",
