path,lineno,category,term,pattern,context
src/RA_AQFT/D1_BDG_MCMC_simulation.py,160,standard_qft_sm_bridge,alpha_s,alpha_s,"'alpha_s_RA': alpha_s_RA(mu_sd),"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,160,standard_qft_sm_bridge,alpha_s,alpha_s,"'alpha_s_RA': alpha_s_RA(mu_sd),"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,207,standard_qft_sm_bridge,alpha_s,alpha_s,"print(f""α_s_RA(μ=1)      = {sd['alpha_s_RA']:.6f}"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,207,standard_qft_sm_bridge,α_s,α_s,"print(f""α_s_RA(μ=1)      = {sd['alpha_s_RA']:.6f}"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,208,standard_qft_sm_bridge,α_s,α_s,"print(f""α_s_RA(μ→∞) UV   = {sd['UV_fixed_point_alpha']:.6f}  [1/√72, proved]"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,209,standard_qft_sm_bridge,α_s,α_s,"print(f""α_s_RA(μ→0) IR   = {sd['IR_fixed_point_alpha']:.6f}  [1/3,  proved]"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,237,standard_qft_sm_bridge,α_s,α_s,"print(""  ○ Absolute energy unit: derive Λ_QCD from BDG without external α_s input"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,29,standard_qft_sm_bridge,Lambda_QCD,Lambda_QCD,"Lambda_QCD = 0.332       # GeV (PDG Λ_QCD^{MS-bar}, n_f=3)"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,111,standard_qft_sm_bridge,Lambda_QCD,Lambda_QCD,sigma_RA = sigma_over_Lambda2 * Lambda_QCD**2
src/RA_AQFT/D1_BDG_MCMC_simulation.py,10,standard_qft_sm_bridge,Λ_QCD,Λ_QCD,- L1 CONFIRMED: σ = Λ_QCD² (⟨S_BDG|acc⟩ → c0=1 as μ→0)
src/RA_AQFT/D1_BDG_MCMC_simulation.py,14,standard_qft_sm_bridge,Λ_QCD,Λ_QCD,- Remaining open: absolute Λ_QCD from BDG without external QCD input
src/RA_AQFT/D1_BDG_MCMC_simulation.py,29,standard_qft_sm_bridge,Λ_QCD,Λ_QCD,"Lambda_QCD = 0.332       # GeV (PDG Λ_QCD^{MS-bar}, n_f=3)"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,101,standard_qft_sm_bridge,Λ_QCD,Λ_QCD,- σ_RA = c0 × (energy_scale)² = 1 × Λ_QCD²
src/RA_AQFT/D1_BDG_MCMC_simulation.py,107,standard_qft_sm_bridge,Λ_QCD,Λ_QCD,sigma_over_Lambda2 = mean_S_sparse  # σ/Λ_QCD² = ⟨S|acc⟩ = c0 = 1
src/RA_AQFT/D1_BDG_MCMC_simulation.py,193,standard_qft_sm_bridge,Λ_QCD,Λ_QCD,"print(f""σ/Λ_QCD² = {st['sigma_over_Lambda2']:.5f}  (theory: c0 = {c0})"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,230,standard_qft_sm_bridge,Λ_QCD,Λ_QCD,"print(f""  ✓ L1: σ = Λ_QCD²  (⟨S|acc⟩→c0=1 as μ→0, confirmed to 4 sig figs)"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,237,standard_qft_sm_bridge,Λ_QCD,Λ_QCD,"print(""  ○ Absolute energy unit: derive Λ_QCD from BDG without external α_s input"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,13,standard_qft_sm_bridge,PDG,PDG,"- G_F (tree level): G_F/√2 = 1.163e-5 GeV⁻² (PDG: 1.166e-5, 0.3% error)"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,29,standard_qft_sm_bridge,PDG,PDG,"Lambda_QCD = 0.332       # GeV (PDG Λ_QCD^{MS-bar}, n_f=3)"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,36,standard_qft_sm_bridge,PDG,PDG,GF_PDG     = 1.1663788e-5  # GeV^{-2}
src/RA_AQFT/D1_BDG_MCMC_simulation.py,119,standard_qft_sm_bridge,PDG,PDG,"'m_p_PDG_MeV': m_p * 1000,"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,133,standard_qft_sm_bridge,PDG,PDG,m_W = 80.379 GeV (PDG; RA BDG EW scale derivation is open target)
src/RA_AQFT/D1_BDG_MCMC_simulation.py,140,standard_qft_sm_bridge,PDG,PDG,"'GF_PDG':  GF_PDG,"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,140,standard_qft_sm_bridge,PDG,PDG,"'GF_PDG':  GF_PDG,"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,141,standard_qft_sm_bridge,PDG,PDG,"'ratio':   GF_pred / GF_PDG,"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,142,standard_qft_sm_bridge,PDG,PDG,"'error_pct': abs(GF_pred / GF_PDG - 1) * 100,"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,144,standard_qft_sm_bridge,PDG,PDG,"'m_W from PDG; BDG EW scale derivation is open target.'),"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,198,standard_qft_sm_bridge,PDG,PDG,"print(f""m_p (PDG)     = {st['m_p_PDG_MeV']:.3f} MeV"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,198,standard_qft_sm_bridge,PDG,PDG,"print(f""m_p (PDG)     = {st['m_p_PDG_MeV']:.3f} MeV"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,218,standard_qft_sm_bridge,PDG,PDG,"print(f""G_F/√2 (PDG)       = {gf['GF_PDG']:.4e} GeV⁻²"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,218,standard_qft_sm_bridge,PDG,PDG,"print(f""G_F/√2 (PDG)       = {gf['GF_PDG']:.4e} GeV⁻²"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,231,standard_qft_sm_bridge,PDG,PDG,"print(f""  ✓ m_p = √(c4·σ) = {st['m_p_pred_MeV']:.0f} MeV  (0.08% of PDG)"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,233,standard_qft_sm_bridge,PDG,PDG,"print(f""  ✓ G_F (tree level): 0.3% of PDG using BDG sin²θ_W = 3/8"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,136,standard_qft_sm_bridge,SU(2),\bSU\(2\),alpha_2 = alpha_EM_mZ / sin2_tW  # SU(2) coupling at m_Z
src/RA_AQFT/D1_BDG_MCMC_simulation.py,240,standard_qft_sm_bridge,Higgs,Higgs,"print(""  ○ G_F precise: derive m_W from BDG EW scale (Higgs vev)"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,33,empirical_or_physical_constants,alpha_EM,alpha_EM,alpha_EM   = 1/137.036
src/RA_AQFT/D1_BDG_MCMC_simulation.py,34,empirical_or_physical_constants,alpha_EM,alpha_EM,alpha_EM_mZ = 1/127.9
src/RA_AQFT/D1_BDG_MCMC_simulation.py,136,empirical_or_physical_constants,alpha_EM,alpha_EM,alpha_2 = alpha_EM_mZ / sin2_tW  # SU(2) coupling at m_Z
src/RA_AQFT/D1_BDG_MCMC_simulation.py,33,empirical_or_physical_constants,alpha_EM,alpha_em,alpha_EM   = 1/137.036
src/RA_AQFT/D1_BDG_MCMC_simulation.py,34,empirical_or_physical_constants,alpha_EM,alpha_em,alpha_EM_mZ = 1/127.9
src/RA_AQFT/D1_BDG_MCMC_simulation.py,136,empirical_or_physical_constants,alpha_EM,alpha_em,alpha_2 = alpha_EM_mZ / sin2_tW  # SU(2) coupling at m_Z
src/RA_AQFT/D1_BDG_MCMC_simulation.py,129,empirical_or_physical_constants,α,α,G_F/√2 = π·α_EM(m_Z) / (sin²θ_W(m_Z) · m_W²)
src/RA_AQFT/D1_BDG_MCMC_simulation.py,134,empirical_or_physical_constants,α,α,α_EM(m_Z) = 1/127.9 (standard running)
src/RA_AQFT/D1_BDG_MCMC_simulation.py,207,empirical_or_physical_constants,α,α,"print(f""α_s_RA(μ=1)      = {sd['alpha_s_RA']:.6f}"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,208,empirical_or_physical_constants,α,α,"print(f""α_s_RA(μ→∞) UV   = {sd['UV_fixed_point_alpha']:.6f}  [1/√72, proved]"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,209,empirical_or_physical_constants,α,α,"print(f""α_s_RA(μ→0) IR   = {sd['IR_fixed_point_alpha']:.6f}  [1/3,  proved]"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,237,empirical_or_physical_constants,α,α,"print(""  ○ Absolute energy unit: derive Λ_QCD from BDG without external α_s input"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,242,empirical_or_physical_constants,α,α,"print(""  ○ α_EM (Wyler): derive from μ→0 BDG path weight (D5 in RASM)"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,25,empirical_or_physical_constants,c =,\bc\s*=,"c = [1, -1, 9, -16, 8]   # c0..c4"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,13,empirical_or_physical_constants,ev,eV,"- G_F (tree level): G_F/√2 = 1.163e-5 GeV⁻² (PDG: 1.166e-5, 0.3% error)"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,13,empirical_or_physical_constants,eV,eV,"- G_F (tree level): G_F/√2 = 1.163e-5 GeV⁻² (PDG: 1.166e-5, 0.3% error)"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,29,empirical_or_physical_constants,eV,eV,"Lambda_QCD = 0.332       # GeV (PDG Λ_QCD^{MS-bar}, n_f=3)"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,30,empirical_or_physical_constants,eV,eV,m_p        = 0.938272    # GeV
src/RA_AQFT/D1_BDG_MCMC_simulation.py,31,empirical_or_physical_constants,eV,eV,m_Z        = 91.1876     # GeV
src/RA_AQFT/D1_BDG_MCMC_simulation.py,32,empirical_or_physical_constants,eV,eV,m_W        = 80.379      # GeV
src/RA_AQFT/D1_BDG_MCMC_simulation.py,36,empirical_or_physical_constants,eV,eV,GF_PDG     = 1.1663788e-5  # GeV^{-2}
src/RA_AQFT/D1_BDG_MCMC_simulation.py,117,empirical_or_physical_constants,eV,eV,"'sigma_RA_GeV2': sigma_RA,"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,118,empirical_or_physical_constants,eV,eV,"'m_p_pred_MeV': m_p_pred * 1000,"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,119,empirical_or_physical_constants,eV,eV,"'m_p_PDG_MeV': m_p * 1000,"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,128,empirical_or_physical_constants,ev,eV,G_F from RA inputs (tree level):
src/RA_AQFT/D1_BDG_MCMC_simulation.py,133,empirical_or_physical_constants,eV,eV,m_W = 80.379 GeV (PDG; RA BDG EW scale derivation is open target)
src/RA_AQFT/D1_BDG_MCMC_simulation.py,143,empirical_or_physical_constants,ev,eV,'note': ('Tree-level formula. sin²θ_W from BDG (GUT→EW running). '
src/RA_AQFT/D1_BDG_MCMC_simulation.py,196,empirical_or_physical_constants,eV,eV,"print(f""σ_RA = {st['sigma_RA_GeV2']:.5f} GeV² = ({math.sqrt(st['sigma_RA_GeV2'])*1000:.1f} MeV)²"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,196,empirical_or_physical_constants,eV,eV,"print(f""σ_RA = {st['sigma_RA_GeV2']:.5f} GeV² = ({math.sqrt(st['sigma_RA_GeV2'])*1000:.1f} MeV)²"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,196,empirical_or_physical_constants,eV,eV,"print(f""σ_RA = {st['sigma_RA_GeV2']:.5f} GeV² = ({math.sqrt(st['sigma_RA_GeV2'])*1000:.1f} MeV)²"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,196,empirical_or_physical_constants,eV,eV,"print(f""σ_RA = {st['sigma_RA_GeV2']:.5f} GeV² = ({math.sqrt(st['sigma_RA_GeV2'])*1000:.1f} MeV)²"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,197,empirical_or_physical_constants,eV,eV,"print(f""m_p = √(c4·σ) = {st['m_p_pred_MeV']:.2f} MeV"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,197,empirical_or_physical_constants,eV,eV,"print(f""m_p = √(c4·σ) = {st['m_p_pred_MeV']:.2f} MeV"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,198,empirical_or_physical_constants,eV,eV,"print(f""m_p (PDG)     = {st['m_p_PDG_MeV']:.3f} MeV"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,198,empirical_or_physical_constants,eV,eV,"print(f""m_p (PDG)     = {st['m_p_PDG_MeV']:.3f} MeV"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,217,empirical_or_physical_constants,eV,eV,"print(f""G_F/√2 (RA, tree)  = {gf['GF_pred']:.4e} GeV⁻²"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,218,empirical_or_physical_constants,eV,eV,"print(f""G_F/√2 (PDG)       = {gf['GF_PDG']:.4e} GeV⁻²"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,231,empirical_or_physical_constants,eV,eV,"print(f""  ✓ m_p = √(c4·σ) = {st['m_p_pred_MeV']:.0f} MeV  (0.08% of PDG)"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,231,empirical_or_physical_constants,eV,eV,"print(f""  ✓ m_p = √(c4·σ) = {st['m_p_pred_MeV']:.0f} MeV  (0.08% of PDG)"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,233,empirical_or_physical_constants,ev,eV,"print(f""  ✓ G_F (tree level): 0.3% of PDG using BDG sin²θ_W = 3/8"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,240,empirical_or_physical_constants,ev,eV,"print(""  ○ G_F precise: derive m_W from BDG EW scale (Higgs vev)"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,118,empirical_or_physical_constants,MeV,MeV,"'m_p_pred_MeV': m_p_pred * 1000,"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,119,empirical_or_physical_constants,MeV,MeV,"'m_p_PDG_MeV': m_p * 1000,"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,196,empirical_or_physical_constants,MeV,MeV,"print(f""σ_RA = {st['sigma_RA_GeV2']:.5f} GeV² = ({math.sqrt(st['sigma_RA_GeV2'])*1000:.1f} MeV)²"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,197,empirical_or_physical_constants,MeV,MeV,"print(f""m_p = √(c4·σ) = {st['m_p_pred_MeV']:.2f} MeV"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,197,empirical_or_physical_constants,MeV,MeV,"print(f""m_p = √(c4·σ) = {st['m_p_pred_MeV']:.2f} MeV"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,198,empirical_or_physical_constants,MeV,MeV,"print(f""m_p (PDG)     = {st['m_p_PDG_MeV']:.3f} MeV"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,198,empirical_or_physical_constants,MeV,MeV,"print(f""m_p (PDG)     = {st['m_p_PDG_MeV']:.3f} MeV"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,231,empirical_or_physical_constants,MeV,MeV,"print(f""  ✓ m_p = √(c4·σ) = {st['m_p_pred_MeV']:.0f} MeV  (0.08% of PDG)"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,231,empirical_or_physical_constants,MeV,MeV,"print(f""  ✓ m_p = √(c4·σ) = {st['m_p_pred_MeV']:.0f} MeV  (0.08% of PDG)"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,13,empirical_or_physical_constants,GeV,GeV,"- G_F (tree level): G_F/√2 = 1.163e-5 GeV⁻² (PDG: 1.166e-5, 0.3% error)"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,29,empirical_or_physical_constants,GeV,GeV,"Lambda_QCD = 0.332       # GeV (PDG Λ_QCD^{MS-bar}, n_f=3)"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,30,empirical_or_physical_constants,GeV,GeV,m_p        = 0.938272    # GeV
src/RA_AQFT/D1_BDG_MCMC_simulation.py,31,empirical_or_physical_constants,GeV,GeV,m_Z        = 91.1876     # GeV
src/RA_AQFT/D1_BDG_MCMC_simulation.py,32,empirical_or_physical_constants,GeV,GeV,m_W        = 80.379      # GeV
src/RA_AQFT/D1_BDG_MCMC_simulation.py,36,empirical_or_physical_constants,GeV,GeV,GF_PDG     = 1.1663788e-5  # GeV^{-2}
src/RA_AQFT/D1_BDG_MCMC_simulation.py,117,empirical_or_physical_constants,GeV,GeV,"'sigma_RA_GeV2': sigma_RA,"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,133,empirical_or_physical_constants,GeV,GeV,m_W = 80.379 GeV (PDG; RA BDG EW scale derivation is open target)
src/RA_AQFT/D1_BDG_MCMC_simulation.py,196,empirical_or_physical_constants,GeV,GeV,"print(f""σ_RA = {st['sigma_RA_GeV2']:.5f} GeV² = ({math.sqrt(st['sigma_RA_GeV2'])*1000:.1f} MeV)²"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,196,empirical_or_physical_constants,GeV,GeV,"print(f""σ_RA = {st['sigma_RA_GeV2']:.5f} GeV² = ({math.sqrt(st['sigma_RA_GeV2'])*1000:.1f} MeV)²"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,196,empirical_or_physical_constants,GeV,GeV,"print(f""σ_RA = {st['sigma_RA_GeV2']:.5f} GeV² = ({math.sqrt(st['sigma_RA_GeV2'])*1000:.1f} MeV)²"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,217,empirical_or_physical_constants,GeV,GeV,"print(f""G_F/√2 (RA, tree)  = {gf['GF_pred']:.4e} GeV⁻²"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,218,empirical_or_physical_constants,GeV,GeV,"print(f""G_F/√2 (PDG)       = {gf['GF_PDG']:.4e} GeV⁻²"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,13,empirical_or_physical_constants,PDG,PDG,"- G_F (tree level): G_F/√2 = 1.163e-5 GeV⁻² (PDG: 1.166e-5, 0.3% error)"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,29,empirical_or_physical_constants,PDG,PDG,"Lambda_QCD = 0.332       # GeV (PDG Λ_QCD^{MS-bar}, n_f=3)"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,36,empirical_or_physical_constants,PDG,PDG,GF_PDG     = 1.1663788e-5  # GeV^{-2}
src/RA_AQFT/D1_BDG_MCMC_simulation.py,119,empirical_or_physical_constants,PDG,PDG,"'m_p_PDG_MeV': m_p * 1000,"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,133,empirical_or_physical_constants,PDG,PDG,m_W = 80.379 GeV (PDG; RA BDG EW scale derivation is open target)
src/RA_AQFT/D1_BDG_MCMC_simulation.py,140,empirical_or_physical_constants,PDG,PDG,"'GF_PDG':  GF_PDG,"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,140,empirical_or_physical_constants,PDG,PDG,"'GF_PDG':  GF_PDG,"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,141,empirical_or_physical_constants,PDG,PDG,"'ratio':   GF_pred / GF_PDG,"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,142,empirical_or_physical_constants,PDG,PDG,"'error_pct': abs(GF_pred / GF_PDG - 1) * 100,"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,144,empirical_or_physical_constants,PDG,PDG,"'m_W from PDG; BDG EW scale derivation is open target.'),"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,198,empirical_or_physical_constants,PDG,PDG,"print(f""m_p (PDG)     = {st['m_p_PDG_MeV']:.3f} MeV"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,198,empirical_or_physical_constants,PDG,PDG,"print(f""m_p (PDG)     = {st['m_p_PDG_MeV']:.3f} MeV"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,218,empirical_or_physical_constants,PDG,PDG,"print(f""G_F/√2 (PDG)       = {gf['GF_PDG']:.4e} GeV⁻²"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,218,empirical_or_physical_constants,PDG,PDG,"print(f""G_F/√2 (PDG)       = {gf['GF_PDG']:.4e} GeV⁻²"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,231,empirical_or_physical_constants,PDG,PDG,"print(f""  ✓ m_p = √(c4·σ) = {st['m_p_pred_MeV']:.0f} MeV  (0.08% of PDG)"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,233,empirical_or_physical_constants,PDG,PDG,"print(f""  ✓ G_F (tree level): 0.3% of PDG using BDG sin²θ_W = 3/8"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,51,execution_reproducibility,random,random,rng = np.random.default_rng(42)
src/RA_AQFT/D1_BDG_MCMC_simulation.py,82,execution_reproducibility,random,random,rng = np.random.default_rng(42)
src/RA_AQFT/D1_BDG_MCMC_simulation.py,51,execution_reproducibility,np.random,np\.random,rng = np.random.default_rng(42)
src/RA_AQFT/D1_BDG_MCMC_simulation.py,82,execution_reproducibility,np.random,np\.random,rng = np.random.default_rng(42)
src/RA_AQFT/D1_BDG_MCMC_simulation.py,51,execution_reproducibility,default_rng,default_rng,rng = np.random.default_rng(42)
src/RA_AQFT/D1_BDG_MCMC_simulation.py,82,execution_reproducibility,default_rng,default_rng,rng = np.random.default_rng(42)
src/RA_AQFT/D1_BDG_MCMC_simulation.py,3,execution_reproducibility,MCMC,MCMC,D1_BDG_MCMC_simulation.py
src/RA_AQFT/D1_BDG_MCMC_simulation.py,6,execution_reproducibility,MCMC,MCMC,RAGC Derivation 1 — BDG-filter MCMC
src/RA_AQFT/D1_BDG_MCMC_simulation.py,170,execution_reproducibility,MCMC,MCMC,"print(""D1 BDG-FILTER MCMC — PHYSICAL EXTRACTION"")"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,49,execution_reproducibility,Monte Carlo,Monte Carlo,"""""""Monte Carlo statistics of the BDG-filtered Poisson-CSG at density μ."""""""
src/RA_AQFT/D1_BDG_MCMC_simulation.py,48,execution_reproducibility,sample,sample,"def compute_bdg_statistics(mu, n_samples=500000, rng=None):"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,55,execution_reproducibility,sample,sample,"N1 = rng.poisson(lams[0], n_samples)"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,56,execution_reproducibility,sample,sample,"N2 = rng.poisson(lams[1], n_samples)"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,57,execution_reproducibility,sample,sample,"N3 = rng.poisson(lams[2], n_samples)"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,58,execution_reproducibility,sample,sample,"N4 = rng.poisson(lams[3], n_samples)"
src/RA_AQFT/D1_BDG_MCMC_simulation.py,88,execution_reproducibility,sample,sample,"r = compute_bdg_statistics(mu, n_samples=500000, rng=rng)"
src/RA_AQFT/RA_BDG_Simulation.py,4,ra_native,BDG,\bBDG\b,Derivation 1 (RASM): BDG-filter stable pattern enumeration.
src/RA_AQFT/RA_BDG_Simulation.py,6,ra_native,BDG,\bBDG\b,The BDG action for a 4D causal set vertex v is:
src/RA_AQFT/RA_BDG_Simulation.py,11,ra_native,BDG,\bBDG\b,The BDG filter: v is actualized iff S_BDG(v) > 0.
src/RA_AQFT/RA_BDG_Simulation.py,27,ra_native,BDG,\bBDG\b,# ── Core BDG machinery ──────────────────────────────────────────────────────
src/RA_AQFT/RA_BDG_Simulation.py,71,ra_native,BDG,\bBDG\b,"print(""     The BDG integers select depth-4 as the ground state."")"
src/RA_AQFT/RA_BDG_Simulation.py,77,ra_native,BDG,\bBDG\b,"""""""Survey key causal set patterns and their BDG scores."""""""
src/RA_AQFT/RA_BDG_Simulation.py,126,ra_native,BDG,\bBDG\b,"print(""BDG stable patterns (S_BDG > 0) by N-vector:"")"
src/RA_AQFT/RA_BDG_Simulation.py,146,ra_native,BDG,\bBDG\b,"print(""From RASM: BDG charges Q_N1, Q_N2, Q_N3 map to:"")"
