node_id,node_name,node_type,source_label,relation,migration_note
RA-MOTIF-009,Type IV exact-zero motif target,issue,programme-state notes; source file TBD,textual_reference_or_paper_source,No matching artifact row found in RA_artifact_inventory_v0_4_5.csv.
RA-PRED-001,Fine-structure inverse target,target,IC30/Dyson script not yet audited in v0.4,textual_reference_or_paper_source,No matching artifact row found in RA_artifact_inventory_v0_4_5.csv.
RA-PRED-002,Proton mass scale target,target,proton cascade script/MD TBD,textual_reference_or_paper_source,No matching artifact row found in RA_artifact_inventory_v0_4_5.csv.
RA-PRED-003,Higgs-scale / scalar benchmark target,target,source TBD,textual_reference_or_paper_source,No matching artifact row found in RA_artifact_inventory_v0_4_5.csv.
RA-ONT-001,Finite causal graph ontology,claim,Paper I — subsection: From causal order to universe-state,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-LLC-001,Local Ledger Condition,claim,Paper I — subsection: From causal order to universe-state,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ONT-002,Irreversible actualization,claim,Paper I — subsection: Relation to classical sequential growth,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ONT-003,Structured potentia / adjacent possible,claim,Paper I — subsection: Relation to classical sequential growth,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KERNEL-003,Finite potentia,claim,Paper I — subsection: Relation to classical sequential growth,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KERNEL-004,Stochastic actualization kernel requirement,issue,Paper I — subsection: Relation to classical sequential growth,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ONT-001,Finite causal graph ontology,claim,Paper I — section: The Seven Axioms,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ONT-002,Irreversible actualization,claim,Paper I — section: The Seven Axioms,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ONT-003,Structured potentia / adjacent possible,claim,Paper I — section: The Seven Axioms,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ONT-004,Finitary Actuality,claim,Paper I — section: The Seven Axioms,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-LLC-001,Local Ledger Condition,claim,Paper I — section: The Seven Axioms,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KERNEL-003,Finite potentia,claim,Paper I — section: The Seven Axioms,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KERNEL-001,Four-dimensional BDG acceptance kernel,claim,Paper I — section: The BDG Action and Its Integers,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-001,BDG coefficient arithmetic spine,claim,Paper I — section: The BDG Action and Its Integers,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-002,Second-order cancellation pattern,claim,Paper I — section: The BDG Action and Its Integers,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KERNEL-001,Four-dimensional BDG acceptance kernel,claim,Paper I — subsection: The second-order cancellation pattern,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-001,BDG coefficient arithmetic spine,claim,Paper I — subsection: The second-order cancellation pattern,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-002,Second-order cancellation pattern,claim,Paper I — subsection: The second-order cancellation pattern,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ONT-002,Irreversible actualization,claim,Paper I — section: The Sequential Growth Rule,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ONT-003,Structured potentia / adjacent possible,claim,Paper I — section: The Sequential Growth Rule,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KERNEL-003,Finite potentia,claim,Paper I — section: The Sequential Growth Rule,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KERNEL-004,Stochastic actualization kernel requirement,issue,Paper I — section: The Sequential Growth Rule,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ONT-002,Irreversible actualization,claim,Paper I — subsection: A worked toy growth step,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ONT-003,Structured potentia / adjacent possible,claim,Paper I — subsection: A worked toy growth step,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KERNEL-003,Finite potentia,claim,Paper I — subsection: A worked toy growth step,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KERNEL-004,Stochastic actualization kernel requirement,issue,Paper I — subsection: A worked toy growth step,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ONT-002,Irreversible actualization,claim,Paper I — subsection: The bimodal ontology,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ONT-003,Structured potentia / adjacent possible,claim,Paper I — subsection: The bimodal ontology,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KERNEL-003,Finite potentia,claim,Paper I — subsection: The bimodal ontology,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KERNEL-004,Stochastic actualization kernel requirement,issue,Paper I — subsection: The bimodal ontology,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KERNEL-001,Four-dimensional BDG acceptance kernel,claim,Paper I — section: The BDG Filter and Acceptance Kernel,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-GRAV-001,Kernel–Poisson divergence identity,claim,Paper I — section: The BDG Filter and Acceptance Kernel,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-GRAV-002,Asymptotic kernel saturation,claim,Paper I — section: The BDG Filter and Acceptance Kernel,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KERNEL-001,Four-dimensional BDG acceptance kernel,claim,Paper I — subsection: The actualization threshold,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-GRAV-001,Kernel–Poisson divergence identity,claim,Paper I — subsection: The actualization threshold,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-GRAV-002,Asymptotic kernel saturation,claim,Paper I — subsection: The actualization threshold,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KERNEL-001,Four-dimensional BDG acceptance kernel,claim,Paper I — subsection: Kernel saturation theorem,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-GRAV-001,Kernel–Poisson divergence identity,claim,Paper I — subsection: Kernel saturation theorem,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-GRAV-002,Asymptotic kernel saturation,claim,Paper I — subsection: Kernel saturation theorem,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-D4-001,D4U02 selectivity ceiling,claim,Paper I — subsection: The selectivity profile,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-005,Internal density scale from selectivity,claim,Paper I — subsection: The selectivity profile,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KERNEL-001,Four-dimensional BDG acceptance kernel,claim,"Paper I — section: The Actualization Criterion: Kernel First, Comparative Readouts Second",canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KERNEL-004,Stochastic actualization kernel requirement,issue,"Paper I — section: The Actualization Criterion: Kernel First, Comparative Readouts Second",canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-D4-001,D4U02 selectivity ceiling,claim,"Paper I — section: The Actualization Criterion: Kernel First, Comparative Readouts Second",canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ONT-002,Irreversible actualization,claim,Paper I — section: The Measurement Problem Dissolved in Native Terms,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-OPEN-009,RA-native frequency law,issue,Paper I — section: The Measurement Problem Dissolved in Native Terms,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KIN-BANDWIDTH-001,Propagation ceiling as graph bandwidth ratio,stageC_candidate,"Paper I — section: Finite Propagation, Event Counts, and Saturation",canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KIN-BANDWIDTH-001,Propagation ceiling as graph bandwidth ratio,stageC_candidate,Paper I — subsection: The propagation ceiling as graph bandwidth ratio,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KIN-PROPER-TIME-001,Proper time as actualization-event count,stageC_candidate,Paper I — subsection: Proper time as event count,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-GRAV-003,Causal severance,claim,Paper I — subsection: Bandwidth saturation and severance onset,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-GRAV-SINGULARITY-001,Singularity termination by saturation/partition,stageC_candidate,Paper I — subsection: Bandwidth saturation and severance onset,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-D4-001,D4U02 selectivity ceiling,claim,Paper I — subsection: The D4U02 analytic gap,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-D4-002,D4U02 modular barrier,claim,Paper I — subsection: The D4U02 analytic gap,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-D4-001,D4U02 selectivity ceiling,claim,Paper I — section: The Present Case for d=4,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-D4-002,D4U02 modular barrier,claim,Paper I — section: The Present Case for d=4,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-001,BDG coefficient arithmetic spine,claim,Paper I — section: The Present Case for d=4,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-005,Internal density scale from selectivity,claim,Paper I — section: The Present Case for d=4,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-002,Stable motif census,claim,Paper I — section: The Present Case for d=4,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-D4-CASCADE-001,d=4 cascade-exponent uniqueness criterion,stageC_candidate,Paper I — subsection: The cascade exponent,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-003,Koide ratio identity,claim,Paper I — subsection: The geometric identity,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-001,BDG coefficient arithmetic spine,claim,"Paper I — section: Arithmetic Core, Measured Numbers, and Non-kernel Overlays",canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-002,Second-order cancellation pattern,claim,"Paper I — section: Arithmetic Core, Measured Numbers, and Non-kernel Overlays",canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-PRED-001,Fine-structure inverse target,target,"Paper I — section: Arithmetic Core, Measured Numbers, and Non-kernel Overlays",canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-003,Koide ratio identity,claim,"Paper I — section: Arithmetic Core, Measured Numbers, and Non-kernel Overlays",canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-GRAV-007,Antichain drift local statistic,claim,Paper I — section: Antichain Drift as a Local Graph Statistic,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-LLC-001,Local Ledger Condition,claim,Paper I — section: Formal Verification in Lean 4,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-KERNEL-002,Kernel locality,claim,Paper I — section: Formal Verification in Lean 4,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-001,BDG coefficient arithmetic spine,claim,Paper I — section: Formal Verification in Lean 4,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-PRED-001,Fine-structure inverse target,target,Paper I — section: Suite-Level Downstream Targets,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-PRED-002,Proton mass scale target,target,Paper I — section: Suite-Level Downstream Targets,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-PRED-003,Higgs-scale / scalar benchmark target,target,Paper I — section: Suite-Level Downstream Targets,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-PRED-004,f0 path-weight comparison target,target,Paper I — section: Suite-Level Downstream Targets,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-PRED-005,Local Hubble/environment target,target,Paper I — section: Suite-Level Downstream Targets,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-PRED-006,Rotation-curve / lensing source-law target,target,Paper I — section: Suite-Level Downstream Targets,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-PRED-007,Axis-of-Evil / low-l alignment target,target,Paper I — section: Suite-Level Downstream Targets,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-001,Native motif sector definition,claim,Paper II — section: Stable Motif Sectors in the d=4 Regime,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-002,Stable motif census,claim,Paper II — section: Stable Motif Sectors in the d=4 Regime,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-003,Minimal closure windows,claim,Paper II — section: Stable Motif Sectors in the d=4 Regime,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-004,Extension census,claim,Paper II — section: Stable Motif Sectors in the d=4 Regime,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-007,Confinement as finite renewal,claim,Paper II — section: Stable Motif Sectors in the d=4 Regime,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-001,Native motif sector definition,claim,Paper II — subsection: Finite closure lengths,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-002,Stable motif census,claim,Paper II — subsection: Finite closure lengths,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-003,Minimal closure windows,claim,Paper II — subsection: Finite closure lengths,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-004,Extension census,claim,Paper II — subsection: Finite closure lengths,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-007,Confinement as finite renewal,claim,Paper II — subsection: Finite closure lengths,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-001,Native motif sector definition,claim,Paper II — subsection: Extension census and admissible closure,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-002,Stable motif census,claim,Paper II — subsection: Extension census and admissible closure,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-003,Minimal closure windows,claim,Paper II — subsection: Extension census and admissible closure,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-004,Extension census,claim,Paper II — subsection: Extension census and admissible closure,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-007,Confinement as finite renewal,claim,Paper II — subsection: Extension census and admissible closure,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-001,Native motif sector definition,claim,Paper II — subsection: Three persistence sectors,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-002,Stable motif census,claim,Paper II — subsection: Three persistence sectors,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-003,Minimal closure windows,claim,Paper II — subsection: Three persistence sectors,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-004,Extension census,claim,Paper II — subsection: Three persistence sectors,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-007,Confinement as finite renewal,claim,Paper II — subsection: Three persistence sectors,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-001,BDG coefficient arithmetic spine,claim,Paper II — section: Arithmetic Spine and Nature-Facing Numerical Targets,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-003,Koide ratio identity,claim,Paper II — section: Arithmetic Spine and Nature-Facing Numerical Targets,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-004,Dimensionless strong-interaction scale,claim,Paper II — section: Arithmetic Spine and Nature-Facing Numerical Targets,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-005,Internal density scale from selectivity,claim,Paper II — section: Arithmetic Spine and Nature-Facing Numerical Targets,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-006,BDG path-weight ratio,claim,Paper II — section: Arithmetic Spine and Nature-Facing Numerical Targets,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-PRED-001,Fine-structure inverse target,target,Paper II — section: Arithmetic Spine and Nature-Facing Numerical Targets,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-PRED-002,Proton mass scale target,target,Paper II — section: Arithmetic Spine and Nature-Facing Numerical Targets,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-PRED-001,Fine-structure inverse target,target,Paper II — subsection: The measured fine-structure constant as a direct target,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-003,Koide ratio identity,claim,Paper II — subsection: The three-angle K=2/3 ratio identity,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-004,Dimensionless strong-interaction scale,claim,Paper II — subsection: A dimensionless strong-interaction scale from BDG arithmetic,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-005,Internal density scale from selectivity,claim,Paper II — subsection: BDG selectivity and the internal strong-density scale,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-ARITH-006,BDG path-weight ratio,claim,Paper II — subsection: BDG path-weight ratio,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-PRED-004,f0 path-weight comparison target,target,Paper II — subsection: BDG path-weight ratio,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-PRED-002,Proton mass scale target,target,Paper II — subsection: Proton-scale cascade as a native numerical programme,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MATTER-NEFF-001,matter_proton_scale,restoration_candidate,Paper II — subsection: Proton-scale cascade as a native numerical programme,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MATTER-HADRON-TRIAD-001,HadronTriad structural ledger and 2/3 mass-bound ratio,restoration_candidate,Paper II — subsection: Proton-scale cascade as a native numerical programme,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-PRED-003,Higgs-scale / scalar benchmark target,target,Paper II — subsection: Secondary measured targets,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-PRED-002,Proton mass scale target,target,Paper II — subsection: Secondary measured targets,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MATTER-HADRON-TRIAD-001,HadronTriad structural ledger and 2/3 mass-bound ratio,restoration_candidate,Paper II — subsection: Secondary measured targets,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-007,Confinement as finite renewal,claim,Paper II — section: Interaction Hierarchy by Closure Burden and Renewal,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-OPEN-002,Scattering and decay predictions,issue,Paper II — section: Interaction Hierarchy by Closure Burden and Renewal,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-007,Confinement as finite renewal,claim,Paper II — subsection: Long-range propagation,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-OPEN-002,Scattering and decay predictions,issue,Paper II — subsection: Long-range propagation,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-007,Confinement as finite renewal,claim,Paper II — subsection: Finite-range weak interaction analogue,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-OPEN-002,Scattering and decay predictions,issue,Paper II — subsection: Finite-range weak interaction analogue,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
RA-MOTIF-007,Confinement as finite renewal,claim,Paper II — subsection: Confinement as finite renewal,canonical_tex_projection,Stage C Apr28 paper-to-registry crosswalk; review before automatic merge.
