claim_id,paper,category,result,basis,status,coarse_status,strategic_tracks,audit_priority,notes,nativeness_class,native_note,native_target_rewrite,native_priority
P1-021,P1,Predictions (falsifiable consequences),BMV null result,From unactualized-superposition argument,DR,DR,benchmark-observable,Routine,,native-candidate,BMV null is a Nature-facing observable target.,Retain on native critical path.,2
P2-003,P2,Topology and structure,Baryon chirality (13 theorems),Lean 4,LV,LV,QFT-domain-recovery,Routine,,native-candidate,Preserve the N2-winding theorem; downplay legacy baryon label in mechanism statements.,Retain on native critical path.,2
P2-004,P2,Topology and structure,Charge quantization in e/3,N_2 winding in 3+1D,DR,DR,QFT-domain-recovery,Routine,,native-candidate,Allowed Nature target if derived from N2 winding alone.,Retain on native critical path.,2
P2-005,P2,Coupling constants,\alpha_{EM}^{-1}=137 (integer core),Lean 4 (norm\_num),LV,LV,QFT-domain-recovery; calculation-utility,Routine,,native-candidate,Integer 137 is an allowed Nature-facing numeric target.,Retain on native critical path.,2
P2-009,P2,Coupling constants,Koide K=2/3 (leptons),Lean 4,LV,LV,QFT-domain-recovery; calculation-utility,Routine,,native-candidate,A mass-ratio pattern is Nature-facing if stripped of model-label dependence.,Retain on native critical path.,2
P2-014,P2,Coupling constants,"\sum m_\nu\approx 59\,meV",Koide + oscillation \Delta m^2,CV,CV,QFT-domain-recovery; calculation-utility,Routine,,native-candidate,A neutrino mass-sum observable is Nature-facing.,Retain on native critical path.,2
P2-015,P2,Mass cascade,\mu_p=\alpha_{EM}/32 (self-consistency),Requires N_{eff}=L_q^3=64,CN,CN,QFT-domain-recovery,High,,native-candidate,Self-consistency relation is internal; keep it detached from legacy names.,Retain on native critical path.,2
P2-016,P2,Mass cascade,"m_p=m_P\alpha_{EM}^5/2^{28}=941\,MeV",\mu^5 cascade identification,PI (0.3\%),PI,QFT-domain-recovery,High,,native-candidate,Proton mass is a prime Nature-facing target.,Retain on native critical path.,2
P2-017,P2,Mass cascade,m_n=m_p (leading order),Same BDG topology,DR,DR,QFT-domain-recovery; calculation-utility,High,,native-candidate,Neutron/proton relation is Nature-facing.,Retain on native critical path.,2
P2-019,P2,Mass cascade,"r_p=L_q\ell_C=0.84\,fm",Confinement radius identification,PI (0.03\%),PI,QFT-domain-recovery,High,,native-candidate,Proton radius is Nature-facing.,Retain on native critical path.,2
P2-021,P2,Mass cascade,"m_\pi\approx 124\,MeV",(2/3)^5 m_p numerical observation,PI (11\%),PI,QFT-domain-recovery,High,,native-candidate,Pion mass is Nature-facing.,Retain on native critical path.,2
P2-033,P2,Structural predictions / absences,Exact proton stability,LLC applied to N_2 winding,LV,LV,supporting-claim,Routine,,native-candidate,Exact proton stability is a strong native claim.,Retain on native critical path.,2
P2-037,P2,Structural predictions / absences,Baryon asymmetry as initial condition,Severance boundary LLC,DR,DR,supporting-claim,Routine,,native-candidate,Baryon asymmetry as severance initial condition can be made native if written in LLC terms.,Retain on native critical path.,2
P3-003,P3,Foundations (Lean-verified at stated layer),Markov Blanket Shielding,Lean 4,LV,LV,core-foundation,Routine,,native-candidate,Useful native theorem if kept in graph-cut / shielding terms.,Retain on native critical path.,2
P3-020,P3,Severance and entropy,\Dkl(K\|Pois)=\Delta S^*,Algebraic identity,DR,DR,GR-domain-recovery; calculation-utility,High,,native-candidate,Kernel/Poisson divergence identity is native.,Retain on native critical path.,2
P3-021,P3,Severance and entropy,"\TV(K,Pois)=1-\Pacc",Algebraic identity,DR,DR,GR-domain-recovery; calculation-utility,High,,native-candidate,Total variation / acceptance identity is native.,Retain on native critical path.,2
P3-022,P3,Severance and entropy,\Pacc\to 1 as \mu\to\infty,Chebyshev bound,DR,DR,GR-domain-recovery; calculation-utility,High,,native-candidate,Saturation law is native.,Retain on native critical path.,2
P3-023,P3,Severance and entropy,Antichain drift >0 for \mu<1.25,Algebraic + Monte Carlo,CV,CV,GR-domain-recovery; calculation-utility,High,,native-candidate,Antichain drift is native if kept statistical/discrete.,Retain on native critical path.,2
P3-024,P3,Severance and entropy,"\SRa=|L_\Sigma| additive, sensitive, non-overcounting",3 propositions,DR,DR,GR-domain-recovery; calculation-utility,High,,native-candidate,Discrete severance measure is native.,Retain on native critical path.,2
P3-025,P3,Severance and entropy,\SRa\propto N_\partial (discrete boundary law),"\langle d_{out}\rangle local, severed\_outdegree.py","CV (d=2,3); DR target (d=4)",CV,GR-domain-recovery; calculation-utility,High,,native-candidate,Discrete boundary law is native; avoid immediate BH-area translation in core narrative.,Retain on native critical path.,2
P3-030,P3,Cosmological predictions,BDG filter inert at cosmic \mu (\mu\sim 10^{-80}),Calibration,CV,CV,benchmark-observable; calculation-utility,Routine,,native-candidate,BDG inertness at low cosmic μ is a native scaling statement.,Retain on native critical path.,2
P3-031,P3,Cosmological predictions,Cosmic web as dynamical attractor,Density-dependent expansion,DR,DR,benchmark-observable; calculation-utility,Routine,,native-candidate,Cosmic-web attractor can be retained as a native structural claim if rederived without GR-first language.,Retain on native critical path.,2
P3-032,P3,Cosmological predictions,Heat death prohibited via fragmentation,Severance before equilibrium,DR,DR,benchmark-observable; calculation-utility,Routine,,native-candidate,Heat-death prohibition via fragmentation is native if severance remains primitive.,Retain on native critical path.,2
P3-033,P3,Cosmological predictions,BAO void/filament splitting (T1),Structural consequence,Prediction,Prediction,benchmark-observable,Medium,,native-candidate,Direct observational target.,Retain on native critical path.,2
P3-034,P3,Cosmological predictions,w(z)--void correlation (T2),Structural consequence,Prediction,Prediction,benchmark-observable,Medium,,native-candidate,Direct observational target.,Retain on native critical path.,2
P3-035,P3,Cosmological predictions,BMV null,Structural,Prediction,Prediction,benchmark-observable,Medium,,native-candidate,Direct observational target.,Retain on native critical path.,2
P3-036,P3,Cosmological predictions,Boltzmann Brain prohibition (structural),Filter inertia,DR,DR,benchmark-observable; calculation-utility,Routine,,native-candidate,Structural prohibition is native.,Retain on native critical path.,2
P3-037,P3,Cosmological predictions,Boltzmann Brain prohibition (dynamical),Fragmentation,DR,DR,benchmark-observable; calculation-utility,Routine,,native-candidate,Dynamical prohibition is native if expressed via assembly/severance dynamics.,Retain on native critical path.,2
P3-040,P3,Nucleation,Low quadrupole (80\% suppressed),Coherent cancellation,CV,CV,benchmark-observable; calculation-utility,Routine,,native-candidate,Observed anomaly amplitude is Nature-facing.,Retain on native critical path.,2
P3-041,P3,Nucleation,Quadrupole-octupole alignment,Parent spin axis,CV,CV,benchmark-observable; calculation-utility,Routine,,native-candidate,Observed anomaly alignment is Nature-facing.,Retain on native critical path.,2
P3-042,P3,Nucleation,N/S asymmetry (\sim 6\%),Accretion flux,CV,CV,benchmark-observable; calculation-utility,Routine,,native-candidate,Observed hemispherical asymmetry is Nature-facing.,Retain on native critical path.,2
P3-043,P3,Nucleation,Normal octupole + higher \ell,(2/\ell)^2 dilution,CV,CV,benchmark-observable; calculation-utility,Routine,,native-candidate,Observed higher-ell regularity is Nature-facing.,Retain on native critical path.,2
P3-044,P3,Nucleation,Cosmic web--CMB axis correlation (T3),Parent spin imprint,Prediction,Prediction,benchmark-observable,Medium,,native-candidate,Direct observational target.,Retain on native critical path.,2
P4-001,P4,Complexity hierarchy,Four-tier complexity hierarchy,Recursive coarse-graining \Phi,DR,DR,complexity-life,Routine,,native-candidate,Hierarchy can be native if defined only by graph/assembly quantities.,Retain on native critical path.,2
P4-002,P4,Complexity hierarchy,Hierarchical decoherence,Markov blanket theorem (LV),DR,DR,complexity-life,Routine,depends on Markov-blanket formalization whose file/build status should be made explicit,native-candidate,Keep as internal hierarchical actualization/decoherence claim.,Retain on native critical path.,2
P4-008,P4,Complexity hierarchy,\quad — Context 5 (Causal Firewall percolation),"This paper, F1+F2+Erd\H{o}s--R\'enyi",DR (this paper),DR,complexity-life,Routine,,native-candidate,Causal Firewall percolation is native if defined purely through graph disruption filtering.,Retain on native critical path.,2
P4-009,P4,Causal Firewall,Causal Firewall (F1 + F2),Substrate-independent conditions,DR,DR,benchmark-observable; calculation-utility; complexity-life,High,,native-candidate,Keep only if F1/F2 are stated entirely in RA-native terms.,Retain on native critical path.,2
P4-013,P4,Causal Firewall,Sandwich bound on first replicator,F1 + F2 + N_{\min},DR,DR,benchmark-observable; calculation-utility; complexity-life,High,,native-candidate,Replicator sandwich bound can be native if assembly/disruption terms are internal.,Retain on native critical path.,2
P4-024,P4,Biosignatures and SETI,Biosignature criteria B1--B3,F1 + F2 + \mu=1,DR,DR,benchmark-observable,Routine,,native-candidate,Biosignature criteria can be native if grounded in assembly/depth measures only.,Retain on native critical path.,2
P4-025,P4,Biosignatures and SETI,Life impossible at T_U\sim T_{env},F2 structural exclusion,Prediction,Prediction,benchmark-observable,Medium,,native-candidate,Environmental-contrast prediction is Nature-facing.,Retain on native critical path.,2
P4-026,P4,Biosignatures and SETI,Substrate universality of life,F1 + F2 independence,Prediction,Prediction,benchmark-observable,Medium,,native-candidate,Substrate universality is a native philosophical/biological thesis if stated through assembly/firewall quantities.,Retain on native critical path.,2
P4-027,P4,Biosignatures and SETI,Causal depth as selection pressure,Tier 4 recursive closure,AR,AR,benchmark-observable,Medium,,native-candidate,Selection pressure via causal depth can be native if operationalized internally.,Retain on native critical path.,2
P4-028,P4,Perception and consciousness,Perception as actualization anchoring,Structural consequence of Tier-4,DR,DR,consciousness-exploratory,Routine,,native-candidate,Perception anchoring can be kept as an internal actualization claim.,Retain on native critical path.,2
P4-029,P4,Perception and consciousness,Agency as recursive causal closure,Structural consequence of Tier-4,DR,DR,consciousness-exploratory,Routine,,native-candidate,Recursive causal closure is an internal RA category.,Retain on native critical path.,2
P4-031,P4,Perception and consciousness,Artificial consciousness permitted,Substrate-independent conditions,DR,DR,consciousness-exploratory,Routine,,native-candidate,Artificial consciousness permission can be expressed via assembly/closure criteria.,Retain on native critical path.,2
P4-032,P4,Perception and consciousness,Depth threshold \tilde{A}_{RA}^* \gtrsim 5,Comparative neuroscience estimate,CN,CN,consciousness-exploratory,High,,native-candidate,Depth threshold is promising if tied to internal assembly measures only.,Retain on native critical path.,2
P1-006,P1,Actualization criterion,Four-level hierarchy (L1 \to L4),Level-by-level derivation,DR,DR,core-foundation,Medium,,mixed-rewrite,Keep Level 1 primary; demote Levels 3–4 to deferred bridges.,Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P1-013,P1,Kinematics and cosmology-adjacent,E=\gamma m c^2 from actualization rate,Structural identification,AR,AR,QFT-domain-recovery,Medium,,mixed-rewrite,Operational relativistic formula is downstream; native target is rate-count relation on chains.,Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P1-019,P1,"Coupling constants (previewed here, Paper II)",\alpha_{EM}^{-1}=137.036 via Dyson eq.,Discrete Dyson equation,CV,CV,QFT-domain-recovery; calculation-utility,Routine,,mixed-rewrite,"Keep the target 1/137.036, but remove imported Dyson-style framing from the core narrative.",Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P1-022,P1,Predictions (falsifiable consequences),WIMP prohibition (categorical),Paper III developed,DR,DR,benchmark-observable,Routine,,mixed-rewrite,"Rephrase as a direct-detection null pattern, not a WIMP-target claim.",Null direct-detection phenomenology and structure of dark-sector sourcing.,3
P1-023,P1,Predictions (falsifiable consequences),Kinematic Coherence Bound,Paper IV developed,DR,DR,benchmark-observable,Routine,bridge claim delegated to Paper IV,mixed-rewrite,Current KCB phrasing is quantum-information imported language; reformulate as an RA coherence ceiling.,Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P2-001,P2,Topology and structure,5 topology types exhaust SM,Lean 4 (124 cases),LV,LV,QFT-domain-recovery,Routine,,mixed-rewrite,Topology theorem is native; “exhaust SM” is legacy mapping language.,Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P2-006,P2,Coupling constants,\alpha_{EM}^{-1}=137.036 (full value),Discrete Dyson equation,CV,CV,QFT-domain-recovery; calculation-utility,Routine,,mixed-rewrite,Full 137.036 remains valuable but should be insulated from imported formula rhetoric.,Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P2-010,P2,Coupling constants,"Koide breaking K_q,K_\ell pattern",Casimir formula identification,PI (3--8\%),PI,QFT-domain-recovery,Medium,,mixed-rewrite,Keep the lepton/quark mass-pattern target; avoid presenting the SM-labeled Koide break as the target.,Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P2-011,P2,Coupling constants,Cabibbo angle |V_{us}|=\sin(2/9),SU(3)_{gen} motivated identification,PI (1.8\%),PI,QFT-domain-recovery,Medium,,mixed-rewrite,"Target the measured mixing number, not the SM name.",Measured flavor/mixing regularities stated as decay-branching or transition-rate patterns.,3
P2-012,P2,Coupling constants,|V_{cb}|=(2/\pi)\delta=0.0424,Angle-displacement identification,PI (0.4\%),PI,QFT-domain-recovery,Medium,,mixed-rewrite,"Target the measured mixing number, not the CKM label.",Measured flavor/mixing regularities stated as decay-branching or transition-rate patterns.,3
P2-013,P2,Coupling constants,Neutrinos structurally Majorana-compatible,Sign flip in \sqrt{m_k},PI,PI,QFT-domain-recovery,Medium,,mixed-rewrite,"Target concrete neutrino observables, not Majorana compatibility as a category.",Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P2-018,P2,Mass cascade,"m_H=133 m_p=125.2\,GeV",Depth-2 + EM ratio identification,PI (0.06\%),PI,QFT-domain-recovery,High,,mixed-rewrite,"Target the measured 125 GeV resonance mass, not “Higgs” as category.",Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P2-022,P2,Mass cascade,"m_W=6^{5/2}m_p=83\,GeV",Handedness sector identification,CN (3.3\%),CN,QFT-domain-recovery,High,,mixed-rewrite,"Target the measured charged weak-boson mass by observable signature, not SM category.",Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P2-024,P2,Force ranges,EM 1/r^2,Causal 2-sphere geometry,DR,DR,QFT-domain-recovery; calculation-utility,Routine,,mixed-rewrite,"Force-law phrasing must be recast as measured interaction-range behaviour, not field-theory force labels.",Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P2-025,P2,Force ranges,Weak R_W=\hbar/(m_W c),BDG debt lifetime (unified principle),DR,DR,QFT-domain-recovery; calculation-utility,Routine,,mixed-rewrite,Same issue as P2-024.,Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P2-026,P2,Force ranges,Strong V(r)=\sigma r,LLC flux tube (unified principle),DR,DR,QFT-domain-recovery; calculation-utility,Routine,,mixed-rewrite,Same issue as P2-024.,Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P2-027,P2,Force ranges,Regge m^2\propto J,Flux tube r\propto\sqrt{J},DR,DR,QFT-domain-recovery; calculation-utility,Routine,,mixed-rewrite,Regge-language is legacy; the target is the observed spin/mass pattern.,Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P2-031,P2,Structural predictions / absences,Absence of SUSY partners,BDG algebra not generated,DR,DR,supporting-claim,Routine,,mixed-rewrite,"Target null collider signatures/observations, not SUSY as a theory target.",Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P2-032,P2,Structural predictions / absences,Absence of WIMPs,Paper III (P_{act} filter),DR,DR,supporting-claim,Routine,,mixed-rewrite,"Target direct-detection null structure, not WIMP vocabulary.",Null direct-detection phenomenology and structure of dark-sector sourcing.,3
P2-034,P2,Structural predictions / absences,\theta_{QCD}=0 exactly,DAG has no instantons,DR,DR,supporting-claim,Routine,,mixed-rewrite,"Target neutron-EDM/strong-CP observables, not θ_QCD as the target.",Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P2-035,P2,Structural predictions / absences,Absence of axion,\theta_{QCD}=0 structurally,DR,DR,supporting-claim,Routine,,mixed-rewrite,Target absence of axion-like signals/necessity only as Nature-facing observation.,Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P2-036,P2,Structural predictions / absences,No Page curve,Severance partition (not purification),DR,DR,supporting-claim,Routine,,mixed-rewrite,"Target monotone exterior-radiation entropy behaviour, not the Page-curve literature object.",Exterior-radiation entropy history under severance and information partition.,3
P3-013,P3,Dark matter as topology,WIMP exclusion within P_{act} sourcing,P_{act} structure,DR,DR,GR-domain-recovery; benchmark-observable,High,,mixed-rewrite,Target direct-detection null pattern rather than WIMP vocabulary.,Null direct-detection phenomenology and structure of dark-sector sourcing.,3
P3-014,P3,Dark matter as topology,Dimensional reduction at low \mu,Durhuus-Jonsson-Wheater,DR,DR,GR-domain-recovery; benchmark-observable,High,,mixed-rewrite,Keep as a sparse-topology proposal; remove dark-matter/GR cartography as success criterion.,Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P3-015,P3,Dark matter as topology,Flat rotation curves from \nabla^2(\ln\lambda),Modified Poisson equation,AR,AR,GR-domain-recovery; benchmark-observable,High,,mixed-rewrite,"Observed rotation curves are valid targets, but current derivation remains bridge-heavy.","Direct observed cosmological/astrophysical quantities, stripped of GR-era intermediate machinery.",3
P3-016,P3,Dark matter as topology,Bullet Cluster (Weyl vs Ricci),Causal depth source identification,AR,AR,GR-domain-recovery; benchmark-observable,High,good candidate for benchmark-observable track,mixed-rewrite,"Observed cluster-lensing morphology is a valid target, but current formulation is bridge-heavy.","Direct observed cosmological/astrophysical quantities, stripped of GR-era intermediate machinery.",3
P3-017,P3,Dark matter as topology,WEP preserved at 10^{-4},Equilibration estimate,DR,DR,GR-domain-recovery; benchmark-observable,High,,mixed-rewrite,"Target universal free-fall/precision tests directly, not WEP vocabulary.",Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P3-019,P3,Dark matter as topology,\Omega_m=\Omega_b(1+f_0)\approx 0.31,From f_0,CV (w/ ext.\ input),CV,GR-domain-recovery; benchmark-observable,High,,mixed-rewrite,"Ω_m is a Nature-facing fit parameter, but current derivation depends on non-native f0 chain.","Direct observed cosmological/astrophysical quantities, stripped of GR-era intermediate machinery.",3
P3-026,P3,Severance and entropy,N_\partial\leftrightarrow A/(4\ell_P^2) (Bekenstein--Hawking),"BDG-to-metric dictionary, normalization open",CN,CN,GR-domain-recovery,High,,mixed-rewrite,Bekenstein–Hawking bridge should be deferred; retain only discrete boundary-law core.,Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P3-027,P3,Cosmological predictions,"H_{local}=73.6\,km/s/Mpc",No additional RA free parameters,CV,CV,benchmark-observable; calculation-utility,Routine,,mixed-rewrite,"Nature-facing observable, but current path is cosmology-bridge heavy.","Direct observed cosmological/astrophysical quantities, stripped of GR-era intermediate machinery.",3
P3-028,P3,Cosmological predictions,\Omega_\Lambda^{app}=0.68 from Milne shape,"Zero additional parameters, 1.4\% match",CV,CV,benchmark-observable; calculation-utility,Routine,,mixed-rewrite,Same issue as P3-027.,"Direct observed cosmological/astrophysical quantities, stripped of GR-era intermediate machinery.",3
P3-029,P3,Cosmological predictions,"w_0=-0.71, w_a=-0.91 (EdS\toMilne)",1 underived parameter (t_{trans}),PI,PI,benchmark-observable,Medium,,mixed-rewrite,Same issue as P3-027.,"Direct observed cosmological/astrophysical quantities, stripped of GR-era intermediate machinery.",3
P3-038,P3,Nucleation,M_{parent}\sim 10^6 M_\odot,\eta_b constraint,CV,CV,benchmark-observable; calculation-utility,Routine,,mixed-rewrite,"Astrophysical mass target is acceptable, but current route is bridge-heavy.",Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P3-039,P3,Nucleation,Kerr nucleation: 5 CMB anomalies from 3 params,Phenomenological model,PI,PI,benchmark-observable,Medium,,mixed-rewrite,CMB anomaly targets are Nature-facing; “Kerr nucleation” wording is not.,"Direct observed cosmological/astrophysical quantities, stripped of GR-era intermediate machinery.",3
P3-045,P3,Nucleation,\alpha=0.68 (release fraction),\eta_b fit,PI,PI,benchmark-observable,Medium,,mixed-rewrite,Release-fraction fit requires native derivation before promotion.,Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P4-003,P4,Complexity hierarchy,\mu=1 as unifying architecture across 5 contexts,BDG Poisson-CSG + Erd\H{o}s--R\'enyi,Mixed (see below),Mixed,complexity-life,High,,mixed-rewrite,Break apart contexts; only native contexts should remain in the core argument.,Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P4-005,P4,Complexity hierarchy,\quad — Context 2 (galactic rotation/dim. reduction),Paper III continuum-bridge (DJW theorem),DR conditional^\dagger,DR,complexity-life,High,,mixed-rewrite,Galactic-rotation context is Nature-facing but currently bridge-heavy.,"Direct observed cosmological/astrophysical quantities, stripped of GR-era intermediate machinery.",3
P4-010,P4,Causal Firewall,"\tau_d=20\,fs at T=300\,K",\Delta S^* + on-shell bath,CV,CV,benchmark-observable; calculation-utility; complexity-life,High,,mixed-rewrite,"Temperature/time benchmark is Nature-facing, but derivation path needs native cleanup.",Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P4-011,P4,Causal Firewall,\kappa\approx 0.2--0.5 (RNA-world),Kubo line-shape theory + \lambda_{reorg},CV,CV,benchmark-observable; calculation-utility; complexity-life,High,,mixed-rewrite,"RNA-world benchmark is Nature-facing, but derivation path needs native cleanup.",Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P4-012,P4,Causal Firewall,N_{\min}=2--5,\lceil 1/\kappa\rceil,CV,CV,benchmark-observable; calculation-utility; complexity-life,High,,mixed-rewrite,Minimal-replicator bound is promising but needs native closure.,Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P4-015,P4,Assembly theory connection,\tilde{A}_{RA}(\text{glycolysis})=3,Pathway coarse-graining,CV,CV,benchmark-observable; calculation-utility; complexity-life,High,,mixed-rewrite,"Assembly-theory comparison is useful only as an external comparison, not a target.","Internal RA assembly/depth/disruption measures, with external comparisons relegated to appendices.",3
P4-016,P4,Assembly theory connection,\tilde{A}_{RA}(\text{E. coli})\approx 4--6,Metabolic network coarse-graining,CV,CV,benchmark-observable; calculation-utility; complexity-life,High,,mixed-rewrite,Same issue as P4-015.,"Internal RA assembly/depth/disruption measures, with external comparisons relegated to appendices.",3
P4-017,P4,Assembly theory connection,Assembly convergence for A>15,Structural conjecture,Conjecture,CN,benchmark-observable; complexity-life,High,,mixed-rewrite,Assembly-convergence claim depends on external framework naming.,"Internal RA assembly/depth/disruption measures, with external comparisons relegated to appendices.",3
P4-030,P4,Perception and consciousness,Panpsychism excluded,Recursive closure required (structural),DR,DR,consciousness-exploratory,Routine,,mixed-rewrite,Panpsychism is an external philosophical target; keep only the internal positive thesis.,Keep the Nature-facing observable; remove legacy labels and bridge-first rhetoric.,3
P1-007,P1,Actualization criterion,\Delta S^*\approx 0.601 nats at \mu=1,Exact computation from BDG integers,CV,CV,core-foundation,Medium,,deferred-bridge,"ΔS* is currently entropic bridge language, not native closure.",,4
P1-008,P1,Actualization criterion,Rindler stationarity (Unruh resolution),rindler\_stationarity Lean theorem,LV (conditional^\dagger),LV,core-foundation,High,inherits disclosed Lean/QFT gap,deferred-bridge,AQFT/Unruh adapter only; replace core target with graph-native observer/readout invariance.,Observer/readout invariance of actualization status on the same realized graph.,4
P1-010,P1,Kinematics and cosmology-adjacent,"Schr\""odinger eq.\ as low-\mu limit",Continuum limit argument,DR,DR,QFT-domain-recovery,Routine,core QFT-domain bridge,deferred-bridge,"Schrödinger-limit statement is downstream, not core.","Low-density graph-statistical propagation law, not continuum state-vector language.",4
P3-006,P3,Foundations (Lean-verified at stated layer),"Frame independence (finite-dim, AQFT layer)",Lean 4 + AQFT,LV conditional^\dagger,LV,core-foundation,High,inherits disclosed Lean/QFT gap,deferred-bridge,AQFT frame-independence adapter.,Observer/readout invariance of actualization status on the same realized graph.,4
