packet,principal_claim,claim_name,epistemic_status,proof_status_raw,key_caveat,rakb_claim_ids,last_audit_event
v1.0,RA-SIM-NATIVE-CERT-ANCHOR-001,v1.0 packages native certificate-overlap components into an anchoring profile,confirmed_robust,simulation_validated_canonical_run_confirmed,"Canonical v1.0 anchoring run on v0.9 outputs + v0.9.2 calibration. component_rows=480, native_overlap_profile_rows=10, low/medium/high bins.",RA-SIM-NATIVE-CERT-ANCHOR-001;RA-SIM-NATIVE-CERT-ANCHOR-002;RA-SIM-NATIVE-CERT-ANCHOR-003;RA-SIM-NATIVE-COMPONENT-DECOUPLE-001;RA-SIM-NATIVE-COMPONENT-DECOUPLE-002;RA-SIM-ORIENTATION-LINK-SURFACE-001,
v1.1,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001,Native component decoupling audit detects orientation/support/frontier confounding,confirmed_robust,simulation_validated_canonical_run_confirmed,Canonical v1.1 audit over 480 v1.0 component rows. Triplet decoupling status: orientation_confounded_with_support_frontier (max_abs_diff=0.0 across all three pairwise comparisons; ablation residual=0.,RA-SIM-NATIVE-COMPONENT-DECOUPLE-001;RA-SIM-NATIVE-COMPONENT-DECOUPLE-002;RA-SIM-NATIVE-ORIENT-LINK-001;RA-SIM-ORIENTATION-LINK-SURFACE-001,
v1.2,RA-SIM-ORIENTATION-LINK-SURFACE-001,v1.2 demonstrates that a decoupled orientation-link surface restores orientation specificity in the v1.1 audit,confirmed_robust,simulation_validated_canonical_run_confirmed,Canonical v1.2 run over 480 v1.0 component rows. orientation_link_overlap decoupled from support/frontier (max_abs_diff 0.82-0.92); orientation_specificity_resolved=true with rescue gaps +0.12 to +0.,RA-SIM-NATIVE-ORIENT-LINK-001;RA-SIM-ORIENTATION-LINK-SURFACE-001,
v1.3,RA-SIM-NATIVE-ORIENT-LINK-001,Native theorem-catalog orientation surface separates from support/frontier overlap,confirmed_robust,simulation_validated_canonical_run_confirmed,"Canonical v1.3 run over 480 v1.0 component rows. native_orientation_catalog_manifest_used=true (Lean files parsed; theorem manifest extracted with role tags + weights, e.g.",RA-SIM-NATIVE-ORIENT-LINK-001;RA-SIM-NATIVE-ORIENT-LINK-002;RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,
v1.4,RA-SIM-PER-GRAPH-ORIENT-WITNESS-001,Per-graph orientation-link witness records can be extracted from simulator state contexts,confirmed_robust,simulation_validated_canonical_run_confirmed,Canonical v1.4 run over 480 v0.9 input rows producing 4800 member witness rows (10 members x 480) using a 45-row v1.3 native theorem catalog manifest.,RA-SIM-CONCRETE-GRAPH-ORIENT-001;RA-SIM-GRAPH-COUPLED-ORIENT-001;RA-SIM-PER-GRAPH-ORIENT-WITNESS-001;RA-SIM-PER-GRAPH-ORIENT-WITNESS-002,
v1.5,RA-SIM-CONCRETE-GRAPH-ORIENT-002,Concrete-graph orientation-link surface preserves orientation specificity verdicts under matched support/frontier control,retracted,simulation_retracted_by_v1_7_canonical_ablation,"RETRACTED by v1.7 canonical keying ablation (RA-SIM-ORIENT-KEYING-001, EV-2026-05-06-004). v1.5 specificity (+0.028 augmented_exact_k; -0.002 at_least_k; partial correlations -0.147 / -0.",RA-SIM-CONCRETE-GRAPH-ORIENT-002,EV-2026-05-06-004
v1.6,RA-SIM-GRAPH-COUPLED-ORIENT-002,"The v1.6 member-indexed edge-pair-sign extractor does not replicate the v1.5 orientation-specificity signal on a small matched-graph subset (keying-tainted, pending v1.7 ablation)",corrected_artifact,simulation_canonical_artifact_corrigendum_resolved,"BINNING ARTIFACT, NOT TOPOLOGY-CAUSAL ANTI-SPECIFICITY (resolved by RA-SIM-ORIENT-KEYING-002, EV-2026-05-06-004). v1.6 reported reversed-sign rescue gaps in a 192-trial subset; v1.",RA-SIM-GRAPH-COUPLED-ORIENT-002,EV-2026-05-06-004
v1.7,RA-SIM-ORIENT-KEYING-001,Canonical matched-graph orientation-keying ablation fails to recover the v1.5 orientation-specific certification-rescue signal under any tested keying,confirmed_robust,simulation_validated_canonical_run_confirmed,"Canonical v1.7 run: 100 seeds × 3 severance × 3 modes × 3 severities × 3 thresholds × 2 semantics × 12 targets × 6 keyings = 1,166,400 keyed rows; 1,296 per-cell rows; 36 cells per (keying, mode, fami...",RA-SIM-CONFOUND-V18-001;RA-SIM-CONFOUND-V18-1-001;RA-SIM-CONFOUND-V18-1-PACKET-001;RA-SIM-ORIENT-KEYING-001;RA-SIM-ORIENT-KEYING-002,EV-2026-05-06-004
v1.8,RA-SIM-CONFOUND-V18-001,v1.8 preliminary width-matched confound diagnostic shows shuffled-control gap collapses while graph-derived gap survives within-width matching (superseded by v1.8.1 joint result),superseded_preliminary,simulation_validated_preliminary_width_matched_diagnostic_superseded_by_v1_8_1,"PRELIMINARY width-matched diagnostic; superseded by RA-SIM-CONFOUND-V18-1-001 (joint width × family-size matching) as the controlling result. The transient ""Case B residual"" reading from v1.",RA-SIM-CONFOUND-V18-001;RA-SIM-CONFOUND-V18-1-001,EV-2026-05-06-005
v1.8.1 (within-stratum),RA-SIM-CONFOUND-V18-1-001,v1.8.1 joint (support_width × family_size × threshold × severity) matched audit collapses the orientation rescue gap to ~zero - Case A confirmed,confirmed_robust,simulation_validated_canonical_run_confirmed,Confirmed by canonical v1.8.1 run on the v1.7 1.17M-row keyed trial rows. CONTROLLING RESULT for the v1.5/v1.6/v1.7 orientation-rescue chain. The decision rule (gap |0.003| < 0.,RA-SIM-CONFOUND-V18-1-001;RA-SIM-CONFOUND-V18-1-002;RA-SIM-CONFOUND-V18-1-PACKET-001,EV-2026-05-06-007
v1.8.1 (cell-level),RA-SIM-CONFOUND-V18-1-PACKET-001,"At cell-level tertile binning, orientation_overlap is nearly a deterministic function of (support_width x family_size); joint matching is not estimable at this scale (Case C, sharper reading of the binning-artifact verdict)",confirmed_robust,simulation_validated_canonical_run_confirmed,"Confirmed by canonical run on the v1.7 1.17M-row keyed trial rows (input_rows=1166400, keying_count=6, width_classes=1;2;3;4, family_size_ classes=1;3;4;5;7;11;15, raw_gap_rows=324, joint_matched_gap_...",RA-SIM-CONFOUND-V18-1-PACKET-001,EV-2026-05-06-007
