module,anchor_name,kind,layer,refines_into,controlling_claim_id,notes
RA_MotifCertificateCorrelationBridge,GraphSharedFateFamily.cert_equiv,theorem,2,(graph certifies equivalence),RA-MOTIF-CERT-CORRELATION-BRIDGE-001,Graph variant of shared-fate cert_equiv.
RA_MotifCertificateCorrelationBridge,GraphSharedFateFamily.certifies_iff_parent,theorem,2,(graph certifies parent equivalence),RA-MOTIF-CERT-CORRELATION-BRIDGE-001,Graph variant of shared-fate certifies_iff_parent.
RA_MotifCertificateCorrelationBridge,GraphMemberDistinctCertificateResilienceAt.future_mono,theorem,2,(future-mono on Graph.Reachable),RA-MOTIF-CERT-CORRELATION-BRIDGE-001,Graph variant of member-distinct certificate resilience future-monotonicity.
RA_MotifNativeOverlapCorrelationBridge,DAGNativeOverlapFateBridge,structure,3,(none),RA-MOTIF-NATIVE-OVERLAP-CORRELATION-BRIDGE-001,Type-valued bridge: lowOverlapWitness / memberDistinct_of_lowOverlap / coupled_of_nativeOverlap.
RA_MotifNativeOverlapCorrelationBridge,DAGHighNativeOverlapEndpoint,definition,3,(coupled is universal via Ω),RA-MOTIF-NATIVE-OVERLAP-CORRELATION-BRIDGE-001,High-overlap endpoint: every pair of family members overlaps in Ω.
RA_MotifNativeOverlapCorrelationBridge,DAGLowNativeOverlapCertificateResilienceAt,definition,3,DAGMemberDistinctCertificateResilienceAt;DAGFamilyInternalResilienceAt;DAGCertifiedFamilyReadyAt,RA-MOTIF-NATIVE-OVERLAP-CORRELATION-BRIDGE-001,Low-overlap witness plus family-internal resilience.
RA_MotifNativeOverlapCorrelationBridge,DAGHighNativeOverlapSharedFateResilienceAt,definition,3,DAGSharedFateResilienceAt;DAGCertifiedFamilyReadyAt,RA-MOTIF-NATIVE-OVERLAP-CORRELATION-BRIDGE-001,High-overlap endpoint plus family-internal resilience.
RA_MotifNativeOverlapCorrelationBridge,DAGNativeOverlapFateBridge.sharedFate_of_highEndpoint,theorem,3,DAGSharedFateFamily,RA-MOTIF-NATIVE-OVERLAP-CORRELATION-BRIDGE-001,STRUCTURAL PAYOFF: high native-overlap endpoint induces a shared-fate family via the bridge's coupling morphism.
RA_MotifNativeOverlapCorrelationBridge,DAGLowNativeOverlapCertificateResilienceAt.to_memberDistinct_resilience,theorem,3,DAGMemberDistinctCertificateResilienceAt,RA-MOTIF-NATIVE-OVERLAP-CORRELATION-BRIDGE-001,Low overlap refines into member-distinct certificate resilience.
RA_MotifNativeOverlapCorrelationBridge,DAGLowNativeOverlapCertificateResilienceAt.to_family_internal_resilience,theorem,3,DAGFamilyInternalResilienceAt,RA-MOTIF-NATIVE-OVERLAP-CORRELATION-BRIDGE-001,Low overlap refines into family-internal resilience.
RA_MotifNativeOverlapCorrelationBridge,DAGLowNativeOverlapCertificateResilienceAt.to_certified_family_ready,theorem,3,DAGCertifiedFamilyReadyAt,RA-MOTIF-NATIVE-OVERLAP-CORRELATION-BRIDGE-001,Low overlap refines into certified-family readiness.
RA_MotifNativeOverlapCorrelationBridge,DAGLowNativeOverlapCertificateResilienceAt.future_mono,theorem,3,(future-mono on DAG.precedes),RA-MOTIF-NATIVE-OVERLAP-CORRELATION-BRIDGE-001,Low-overlap resilience preserved along DAG precedence.
RA_MotifNativeOverlapCorrelationBridge,DAGHighNativeOverlapSharedFateResilienceAt.to_sharedFate_resilience,theorem,3,DAGSharedFateResilienceAt,RA-MOTIF-NATIVE-OVERLAP-CORRELATION-BRIDGE-001,High overlap (via sharedFate_of_highEndpoint) refines into shared-fate resilience.
RA_MotifNativeOverlapCorrelationBridge,DAGHighNativeOverlapSharedFateResilienceAt.to_certified_family_ready,theorem,3,DAGCertifiedFamilyReadyAt,RA-MOTIF-NATIVE-OVERLAP-CORRELATION-BRIDGE-001,High overlap refines into certified-family readiness.
RA_MotifNativeOverlapCorrelationBridge,GraphNativeOverlapFateBridge,structure,3,(none),RA-MOTIF-NATIVE-OVERLAP-CORRELATION-BRIDGE-001,Graph-layer native-overlap fate bridge.
RA_MotifNativeOverlapCorrelationBridge,GraphHighNativeOverlapEndpoint,definition,3,(coupled is universal via Ω),RA-MOTIF-NATIVE-OVERLAP-CORRELATION-BRIDGE-001,Graph-layer high-overlap endpoint.
RA_MotifNativeOverlapCorrelationBridge,GraphLowNativeOverlapCertificateResilienceAt,definition,3,GraphMemberDistinctCertificateResilienceAt;GraphFamilyInternalResilienceAt;GraphCertifiedFamilyReadyAt,RA-MOTIF-NATIVE-OVERLAP-CORRELATION-BRIDGE-001,Graph-layer low-overlap resilience.
RA_MotifNativeOverlapCorrelationBridge,GraphHighNativeOverlapSharedFateResilienceAt,definition,3,GraphSharedFateResilienceAt;GraphCertifiedFamilyReadyAt,RA-MOTIF-NATIVE-OVERLAP-CORRELATION-BRIDGE-001,Graph-layer high-overlap resilience.
RA_MotifNativeOverlapCorrelationBridge,GraphNativeOverlapFateBridge.sharedFate_of_highEndpoint,theorem,3,GraphSharedFateFamily,RA-MOTIF-NATIVE-OVERLAP-CORRELATION-BRIDGE-001,Graph variant of the structural payoff theorem.
RA_MotifNativeOverlapCorrelationBridge,GraphLowNativeOverlapCertificateResilienceAt.future_mono,theorem,3,(future-mono on Graph.Reachable),RA-MOTIF-NATIVE-OVERLAP-CORRELATION-BRIDGE-001,Graph-layer low-overlap resilience future-monotonicity.
